time,height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,nominal_com_y,nominal_com_z,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.099,0.5,0,-0,0,-0,0.016561,-0.00451449,-0.0830506,0.0617867,0.0617867,-0.0663012,-0.0253744,0.410154,0.0272261,0.0272261,0,0,-0,0.016561,0,1,0,1,0,0,0,0,-17.1204,-17.1204,8.56018
0.103,0.5,0,9.8793e-05,0,9.8793e-05,0.0168268,-0.00638699,-0.106349,0.0617867,0.0617867,-0.0681737,-0.0253744,0.410154,0.0279941,0.0272337,0,0,9.83007e-07,0.0165636,0,1,0,1,0,0,0,0,-18.6904,-18.6904,9.34519
0.107,0.5,0,-0.000304665,0,-0.000304665,0.00862766,-0.00638699,-0.106349,0.0617867,0.0617867,-0.0681737,-0.0253744,0.410154,0.0279941,0.0272398,0,0,-1.45243e-06,0.0165004,0,1,0,1,0,0,0,0,-19.0776,-19.0776,9.53879
0.112,0.5,0,-0.000845804,0,-0.000845804,-0.00218849,0.00838949,0.467047,0.0617867,0.0617867,-0.0533972,-0.0253744,0.410154,0.0219333,0.027187,0,0,-9.85387e-06,0.0163144,0,1,0,1,0,0,0,0,12.9385,12.9385,-6.46925
0.117,0.5,0,-0.00275566,0,-0.00275566,-0.0263003,0.00838949,0.467047,0.0617867,0.0617867,-0.0533972,-0.0253744,0.410154,0.0219333,0.0271347,0,0,-3.71751e-05,0.0158904,0,1,0,1,0,0,0,0,11.7954,11.7954,-5.89768
0.122,0.5,0,-0.0050217,0,-0.0050217,-0.0460445,0.0283273,0.596265,0.0617867,0.0617867,-0.0334594,-0.0253744,0.410154,0.0137527,0.0270015,0,0,-8.67719e-05,0.0152741,0,1,0,1,0,0,0,0,21.5983,20,-10
0.126,0.5,0,-0.0070125,0,-0.0070125,-0.0623823,0.0283273,0.596265,0.0617867,0.0617867,-0.0334594,-0.0253744,0.410154,0.0137527,0.026896,0,0,-0.000141957,0.0146554,0,1,0,1,0,0,0,0,20.8194,20,-10
0.131,0.5,0,-0.008264,0,-0.008264,-0.0656475,0.0268949,0.32946,0.0617867,0.0617867,-0.0348919,-0.0253744,0.410154,0.0143407,0.026771,0,0,-0.000222772,0.0138563,0,1,0,1,0,0,0,0,6.64217,6.64217,-3.32108
0.136,0.5,0,-0.00720519,0,-0.00720519,-0.0413926,0.0268949,0.32946,0.0617867,0.0617867,-0.0348919,-0.0253744,0.410154,0.0143407,0.0266473,0,0,-0.000292249,0.0133066,0,1,0,1,0,0,0,0,7.78679,7.78679,-3.89339
0.141,0.5,0,-0.00460391,0,-0.00460391,-0.0106159,0.0179799,0.092937,0.0617867,0.0617867,-0.0438069,-0.0253744,0.410154,0.0179991,0.0265613,0,0,-0.00033515,0.0130686,0,1,0,1,0,0,0,0,-4.74978,-4.74978,2.37489
0.146,0.5,0,-0.00118124,0,-0.00118124,0.027204,0.0179799,0.092937,0.0617867,0.0617867,-0.0438069,-0.0253744,0.410154,0.0179991,0.0264761,0,0,-0.000343569,0.0132092,0,1,0,1,0,0,0,0,-2.9541,-2.9541,1.47705
0.15,0.5,0,0.00205908,0,0.00205908,0.0546025,0.00886856,-0.09053,0.0617867,0.0617867,-0.0529182,-0.0253744,0.410154,0.0217368,0.0264383,0,0,-0.000324425,0.0135391,0,1,0,1,0,0,0,0,-12.9569,-12.9569,6.47845
0.155,0.5,0,0.00462145,0,0.00462145,0.0750349,0.00886856,-0.09053,0.0617867,0.0617867,-0.0529182,-0.0253744,0.410154,0.0217368,0.0263916,0,0,-0.000275212,0.0141509,0,1,0,1,0,0,0,0,-11.9824,-11.9824,5.99119
0.16,0.5,0,0.00462145,0,0.00462145,0.0750349,0.00886856,-0.09053,0.0617867,0.0617867,-0.0529182,-0.0253744,0.410154,0.0217368,0.0263452,0,0,-0.00022649,0.0147568,0,1,0,1,0,0,0,0,-11.9824,-11.9824,5.99119
0.165,0.5,0,0.00585085,0,0.00585085,0.0761348,0.00073783,-0.213903,0.0617867,0.0617867,-0.0610489,-0.0253744,0.410154,0.0250718,0.0263326,0,0,-0.000166019,0.0153675,0,1,0,1,0,0,0,0,-19.9393,-19.9393,9.96967
0.17,0.5,0,0.00541539,0,0.00541539,0.0616847,0.00073783,-0.213903,0.0617867,0.0617867,-0.0610489,-0.0253744,0.410154,0.0250718,0.02632,0,0,-0.000110483,0.0158283,0,1,0,1,0,0,0,0,-20.6201,-20,10
0.175,0.5,0,0.0028708,0,0.0028708,0.0232287,-0.00571976,-0.278139,0.0617867,0.0617867,-0.0675065,-0.0253744,0.410154,0.0277204,0.026334,0,0,-8.08189e-05,0.015902,0,1,0,1,0,0,0,0,-27.0711,-20,10
0.179,0.5,0,-0.00204332,0,-0.00204332,-0.0362983,-0.00571976,-0.278139,0.0617867,0.0617867,-0.0675065,-0.0253744,0.410154,0.0277204,0.026345,0,0,-9.64563e-05,0.015486,0,1,0,1,0,0,0,0,-29.8945,-20,10
0.184,0.5,0,-0.00915625,0,-0.00915625,-0.114156,-0.010157,-0.293501,0.0617867,0.0617867,-0.0719438,-0.0253744,0.410154,0.0295405,0.0263768,0,0,-0.000186603,0.0141961,0,1,0,1,0,0,0,0,-35.2936,-20,10
0.189,0.5,0,-0.0183067,0,-0.0183067,-0.207866,-0.010157,-0.293501,0.0617867,0.0617867,-0.0719438,-0.0253744,0.410154,0.0295405,0.0264083,0,0,-0.000366901,0.0119865,0,1,0,1,0,0,0,0,-39.747,-20,10
0.194,0.5,0,-0.0287655,0,-0.0287655,-0.302473,-0.0129735,-0.285491,0.0617867,0.0617867,-0.0747602,-0.0253744,0.410154,0.0306958,0.0264509,0,0,-0.000649471,0.0088576,0,1,0,1,0,0,0,0,-44.4174,-20,10
0.199,0.5,0,-0.0392655,0,-0.0392655,-0.392349,-0.0129735,-0.285491,0.0617867,0.0617867,-0.0747602,-0.0253744,0.410154,0.0306958,0.0264932,0,0,-0.00103371,0.00486553,0,1,0,1,0,0,0,0,-48.6993,-20,10
0.204,0.5,0,-0.0497655,0,-0.0497655,-0.477731,-0.015477,-0.278568,0.0617867,0.0617867,-0.0772637,-0.0253744,0.410154,0.0317228,0.0265452,0,0,-0.0015186,6.36106e-05,0,1,0,1,0,0,0,0,-52.9288,-20,10
0.209,0.5,0,-0.0602655,0,-0.0602655,-0.558845,-0.015477,-0.278568,0.0617867,0.0617867,-0.0772637,-0.0253744,0.410154,0.0317228,0.0265967,0,0,-0.00210314,-0.00549762,0,1,0,1,0,0,0,0,-56.7995,-20,10
0.214,0.5,0,-0.0707655,0,-0.0707655,-0.635903,-0.0179617,-0.272673,0.0617867,0.0617867,-0.0797485,-0.0253744,0.410154,0.0327423,0.0266579,0,0,-0.00278634,-0.0117703,0,1,0,1,0,0,0,0,-60.6874,-20,10
0.218,0.5,0,-0.0812655,0,-0.0812655,-0.709107,-0.0179617,-0.272673,0.0617867,0.0617867,-0.0797485,-0.0253744,0.410154,0.0327423,0.0267064,0,0,-0.00341167,-0.0173267,0,1,0,1,0,0,0,0,-64.187,-20,10
0.223,0.5,0,-0.0917655,0,-0.0917655,-0.778652,-0.020434,-0.267707,0.0617867,0.0617867,-0.0822207,-0.0253744,0.410154,0.0337567,0.0267765,0,0,-0.0042908,-0.024902,0,1,0,1,0,0,0,0,-67.7675,-20,10
0.228,0.5,0,-0.102266,0,-0.102266,-0.84472,-0.020434,-0.267707,0.0617867,0.0617867,-0.0822207,-0.0253744,0.410154,0.0337567,0.026846,0,0,-0.00526567,-0.0330593,0,1,0,1,0,0,0,0,-70.9322,-20,10
0.233,0.5,0,-0.112766,0,-0.112766,-0.907484,-0.0228977,-0.263557,0.0617867,0.0617867,-0.0846845,-0.0253744,0.410154,0.0347676,0.0269248,0,0,-0.00633531,-0.04176,0,1,0,1,0,0,0,0,-74.2348,-20,10
0.238,0.5,0,-0.123266,0,-0.123266,-0.967109,-0.0228977,-0.263557,0.0617867,0.0617867,-0.0846845,-0.0253744,0.410154,0.0347676,0.0270028,0,0,-0.00749878,-0.0509674,0,1,0,1,0,0,0,0,-77.0973,-20,10
0.243,0.5,0,-0.133766,0,-0.133766,-1.02375,-0.0253557,-0.260109,0.0617867,0.0617867,-0.0871424,-0.0253744,0.410154,0.0357764,0.0270901,0,0,-0.00875516,-0.0606468,0,1,0,1,0,0,0,0,-80.1477,-20,10
0.248,0.5,0,-0.144266,0,-0.144266,-1.07757,-0.0253557,-0.260109,0.0617867,0.0617867,-0.0871424,-0.0253744,0.410154,0.0357764,0.0271766,0,0,-0.0101035,-0.0707653,0,1,0,1,0,0,0,0,-82.7373,-20,10
0.253,0.5,0,-0.154766,0,-0.154766,-1.12869,-0.0278096,-0.257258,0.0617867,0.0617867,-0.0895963,-0.0253744,0.410154,0.0367836,0.0272721,0,0,-0.0115429,-0.0812918,0,1,0,1,0,0,0,0,-85.5585,-20,10
0.257,0.5,0,-0.154766,0,-0.154766,-1.12869,-0.0278096,-0.257258,0.0617867,0.0617867,-0.0895963,-0.0253744,0.410154,0.0367836,0.0273479,0,0,-0.0126841,-0.0896375,0,1,0,1,0,0,0,0,-85.5585,-20,10
0.262,0.5,0,-0.175766,0,-0.175766,-1.17725,-0.0302607,-0.254909,0.0617867,0.0617867,-0.0920475,-0.0253744,0.410154,0.0377898,0.0274518,0,0,-0.0143068,-0.100459,0,1,0,1,0,0,0,0,-88.3495,-20,10
0.267,0.5,0,-0.186266,0,-0.186266,-1.22339,-0.0302607,-0.254909,0.0617867,0.0617867,-0.0920475,-0.0253744,0.410154,0.0377898,0.0275547,0,0,-0.0160178,-0.111633,0,1,0,1,0,0,0,0,-90.579,-20,10
0.272,0.5,0,-0.196766,0,-0.196766,-1.26722,-0.0327099,-0.252978,0.0617867,0.0617867,-0.0944967,-0.0253744,0.410154,0.0387953,0.0276665,0,0,-0.0178163,-0.123131,0,1,0,1,0,0,0,0,-93.1044,-20,10
0.277,0.5,0,-0.207266,0,-0.207266,-1.30886,-0.0327099,-0.252978,0.0617867,0.0617867,-0.0944967,-0.0253744,0.410154,0.0387953,0.0277773,0,0,-0.0197014,-0.134929,0,1,0,1,0,0,0,0,-95.1228,-20,10
0.282,0.5,0,-0.217766,0,-0.217766,-1.34842,-0.0351577,-0.251395,0.0617867,0.0617867,-0.0969445,-0.0253744,0.410154,0.0398004,0.0278969,0,0,-0.0216721,-0.147004,0,1,0,1,0,0,0,0,-97.4652,-20,10
0.287,0.5,0,-0.228266,0,-0.228266,-1.386,-0.0351577,-0.251395,0.0617867,0.0617867,-0.0969445,-0.0253744,0.410154,0.0398004,0.0280154,0,0,-0.0237278,-0.159332,0,1,0,1,0,0,0,0,-99.2932,-20,10
0.292,0.5,0,-0.238766,0,-0.238766,-1.4217,-0.0376045,-0.250099,0.0617867,0.0617867,-0.0993912,-0.0253744,0.410154,0.0408053,0.0281426,0,0,-0.0258674,-0.171893,0,1,0,1,0,0,0,0,-101.469,-20,10
0.297,0.5,0,-0.249266,0,-0.249266,-1.45561,-0.0376045,-0.250099,0.0617867,0.0617867,-0.0993912,-0.0253744,0.410154,0.0408053,0.0282686,0,0,-0.0280903,-0.184666,0,1,0,1,0,0,0,0,-103.125,-20,10
0.302,0.5,0,-0.259766,0,-0.259766,-1.48783,-0.0400505,-0.249039,0.0617867,0.0617867,-0.101837,-0.0253744,0.410154,0.0418101,0.0284033,0,0,-0.0303955,-0.197633,0,1,0,1,0,0,0,0,-105.15,-20,10
0.306,0.5,0,-0.270266,0,-0.270266,-1.51844,-0.0400505,-0.249039,0.0617867,0.0617867,-0.101837,-0.0253744,0.410154,0.0418101,0.0285102,0,0,-0.0323068,-0.208157,0,1,0,1,0,0,0,0,-106.651,-20,10
