time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.011,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0628815,0.0628815,-0.0628815,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,-0,1.56112e-28,0,1,0,0,0,0,0,0,-12.9214,-12.9214,6.46069
0.016,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0628815,0.0628815,-0.0628815,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,7.76671e-33,1.56112e-28,0,1,0,0,0,0,0,0,-12.9214,-12.9214,6.46069
0.02,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0628815,0.0628815,-0.0628815,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,2.0144e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.9214,-12.9214,6.46069
0.025,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0628815,0.0628815,-0.0628815,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,3.5477e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.9214,-12.9214,6.46069
0.03,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0628815,0.0628815,-0.0628815,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,5.84241e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.9214,-12.9214,6.46069
0.035,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.38193e-17,0.0628815,0.0628815,-0.0628815,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,8.89096e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.9214,-12.9214,6.46069
0.039,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.03644e-18,-2.38193e-17,0.0628815,0.0628815,-0.0628815,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,1.67263e-15,-1.51452e-14,0,1,0,0,0,0,0,0,-12.9214,-12.9214,6.46069
0.044,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0628815,0.0628815,-0.0622394,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.025563,0.0258243,0,0,2.77368e-15,-2.8018e-14,0,1,0,0,0,0,0,0,-13.3841,-13.3841,6.69204
0.048,0.36,0.5,0,1.92785e-05,0,1.92785e-05,0.00032021,0.000642101,-0.0115605,0.0628815,0.0628815,-0.0622394,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.025563,0.0258217,0,0,1.91824e-07,3.18615e-06,0,1,0,0,0,0,0,0,-13.3689,-13.3689,6.68447
0.053,0.36,0.5,0,-0.000341427,0,-0.000341427,-0.00589554,0.000738451,0.0306004,0.0628815,0.0628815,-0.062143,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0255235,0.0258187,0,0,-3.20734e-06,-5.55071e-05,0,1,0,0,0,0,0,0,-11.4743,-11.4743,5.73714
0.057,0.36,0.5,0,-0.00134252,0,-0.00134252,-0.018129,0.000738451,0.0306004,0.0628815,0.0628815,-0.062143,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0255235,0.0258164,0,0,-1.38791e-05,-0.000199518,0,1,0,0,0,0,0,0,-12.0544,-12.0544,6.02719
0.061,0.36,0.5,0,-0.00290787,0,-0.00290787,-0.0349414,0.00582386,0.163051,0.0628815,0.0628815,-0.0570576,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0234376,0.0257974,0,0,-3.69387e-05,-0.000476345,0,1,0,0,0,0,0,0,-4.99468,-4.99468,2.49734
0.066,0.36,0.5,0,-0.0050022,0,-0.0050022,-0.0562694,0.00582386,0.163051,0.0628815,0.0628815,-0.0570576,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0234376,0.0257739,0,0,-8.63439e-05,-0.00103149,0,1,0,0,0,0,0,0,-6.00817,-6.00817,3.00409
0.07,0.36,0.5,0,-0.0074171,0,-0.0074171,-0.0782465,0.0151511,0.325857,0.0628815,0.0628815,-0.0477304,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0196113,0.0257248,0,0,-0.000144756,-0.00164675,0,1,0,0,0,0,0,0,3.23701,3.23701,-1.61851
0.075,0.36,0.5,0,-0.0074171,0,-0.0074171,-0.0782465,0.0151511,0.325857,0.0628815,0.0628815,-0.0477304,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0196113,0.025664,0,0,-0.000217117,-0.00240893,0,1,0,0,0,0,0,0,3.23701,3.23701,-1.61851
0.08,0.36,0.5,0,-0.00932002,0,-0.00932002,-0.0958889,0.0151511,0.325857,0.0628815,0.0628815,-0.0477304,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0196113,0.0256038,0,0,-0.000307692,-0.00333907,0,1,0,0,0,0,0,0,2.39761,2.39761,-1.1988
0.085,0.36,0.5,0,-0.0116799,0,-0.0116799,-0.115416,0.0473926,0.738148,0.0628815,0.0628815,-0.0154889,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00637264,0.0254124,0,0,-0.000420847,-0.00445425,0,1,0,0,0,0,0,0,29.2999,20,-10
0.09,0.36,0.5,0,-0.0143125,0,-0.0143125,-0.136733,0.0473926,0.738148,0.0628815,0.0628815,-0.0154889,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00637264,0.025223,0,0,-0.000559071,-0.00577045,0,1,0,0,0,0,0,0,28.2836,20,-10
0.094,0.36,0.5,0,-0.0166849,0,-0.0166849,-0.150896,0.0596033,0.641009,0.0628815,0.0628815,-0.00327817,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00134968,0.0250328,0,0,-0.000687564,-0.00692682,0,1,0,0,0,0,0,0,25.117,20,-10
0.099,0.36,0.5,0,-0.0183029,0,-0.0183029,-0.154023,0.0596033,0.641009,0.0628815,0.0628815,-0.00327817,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00134968,0.0247971,0,0,-0.000862839,-0.00839045,0,1,0,0,0,0,0,0,24.9603,20,-10
0.104,0.36,0.5,0,-0.0176447,0,-0.0176447,-0.129171,0.0535299,0.371967,0.0628815,0.0628815,-0.00935161,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00384884,0.0245887,0,0,-0.00102982,-0.00959224,0,1,0,0,0,0,0,0,11.0432,11.0432,-5.52158
0.109,0.36,0.5,0,-0.0143384,0,-0.0143384,-0.0799011,0.0535299,0.371967,0.0628815,0.0628815,-0.00935161,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00384884,0.0243823,0,0,-0.00116224,-0.0102918,0,1,0,0,0,0,0,0,13.375,13.375,-6.6875
0.113,0.36,0.5,0,-0.00930182,0,-0.00930182,-0.0211616,0.0449384,0.130746,0.0628815,0.0628815,-0.0179431,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00738144,0.0242468,0,0,-0.0012271,-0.0103784,0,1,0,0,0,0,0,0,1.98823,1.98823,-0.994113
0.118,0.36,0.5,0,-0.00294841,0,-0.00294841,0.0486634,0.0449384,0.130746,0.0628815,0.0628815,-0.0179431,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.00738144,0.024079,0,0,-0.00124423,-0.00979096,0,1,0,0,0,0,0,0,5.30317,5.30317,-2.65159
0.123,0.36,0.5,0,0.00383387,0,0.00383387,0.113011,0.0357024,-0.067405,0.0628815,0.0628815,-0.0271791,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.011176,0.0239506,0,0,-0.0011937,-0.00856906,0,1,0,0,0,0,0,0,-3.72669,-3.72669,1.86334
0.128,0.36,0.5,0,0.0106837,0,0.0106837,0.176588,0.0357024,-0.067405,0.0628815,0.0628815,-0.0271791,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.011176,0.0238235,0,0,-0.00107552,-0.00672672,0,1,0,0,0,0,0,0,-0.701814,-0.701814,0.350907
0.133,0.36,0.5,0,0.017046,0,0.017046,0.227393,0.0267757,-0.216732,0.0628815,0.0628815,-0.0361058,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0148411,0.0237342,0,0,-0.000895205,-0.00439719,0,1,0,0,0,0,0,0,-7.79463,-7.79463,3.89732
0.137,0.36,0.5,0,0.0227277,0,0.0227277,0.270695,0.0267757,-0.216732,0.0628815,0.0628815,-0.0361058,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0148411,0.0236633,0,0,-0.000706976,-0.00220523,0,1,0,0,0,0,0,0,-5.72811,-5.72811,2.86406
0.142,0.36,0.5,0,0.0273693,0,0.0273693,0.297931,0.0186922,-0.318964,0.0628815,0.0628815,-0.0441893,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0181585,0.0236085,0,0,-0.000427613,0.000781175,0,1,0,0,0,0,0,0,-11.3415,-11.3415,5.67077
0.147,0.36,0.5,0,0.0308437,0,0.0308437,0.313609,0.0186922,-0.318964,0.0628815,0.0628815,-0.0441893,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0181585,0.0235543,0,0,-0.000116459,0.00389387,0,1,0,0,0,0,0,0,-10.5846,-10.5846,5.29229
0.152,0.36,0.5,0,0.0328966,0,0.0328966,0.311703,0.0117596,-0.378236,0.0628815,0.0628815,-0.0511219,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0210027,0.0235289,0,0,0.000212027,0.00695662,0,1,0,0,0,0,0,0,-15.1348,-15.1348,7.56742
0.157,0.36,0.5,0,0.0334024,0,0.0334024,0.295308,0.0117596,-0.378236,0.0628815,0.0628815,-0.0511219,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0210027,0.0235038,0,0,0.000542277,0.00982576,0,1,0,0,0,0,0,0,-15.9009,-15.9009,7.95044
0.162,0.36,0.5,0,0.0321527,0,0.0321527,0.260267,0.00620564,-0.398535,0.0628815,0.0628815,-0.0566759,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.023281,0.0235015,0,0,0.000856806,0.0123177,0,1,0,0,0,0,0,0,-19.7379,-19.7379,9.86897
0.167,0.36,0.5,0,0.0289814,0,0.0289814,0.207943,0.00620564,-0.398535,0.0628815,0.0628815,-0.0566759,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.023281,0.0234998,0,0,0.0010809,0.0138765,0,1,0,0,0,0,0,0,-22.2122,-20,10
0.171,0.36,0.5,0,0.0236865,0,0.0236865,0.135588,0.00226326,-0.38247,0.0628815,0.0628815,-0.0606182,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0248981,0.0235137,0,0,0.00130583,0.0150875,0,1,0,0,0,0,0,0,-25.6231,-20,10
0.176,0.36,0.5,0,0.0162067,0,0.0162067,0.0455337,0.00226326,-0.38247,0.0628815,0.0628815,-0.0606182,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0248981,0.0235275,0,0,0.0014541,0.0153904,0,1,0,0,0,0,0,0,-29.894,-20,10
0.181,0.36,0.5,0,0.00668996,0,0.00668996,-0.0597591,4.6541e-05,-0.338213,0.0628815,0.0628815,-0.062835,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258073,0.0235502,0,0,0.0015062,0.0146427,0,1,0,0,0,0,0,0,-33.0714,-20,10
0.186,0.36,0.5,0,-0.00381004,0,-0.00381004,-0.161771,4.6541e-05,-0.338213,0.0628815,0.0628815,-0.062835,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258073,0.0235726,0,0,0.0014533,0.0128873,0,1,0,0,0,0,0,0,-37.9219,-20,10
0.191,0.36,0.5,0,-0.01431,0,-0.01431,-0.258683,-0.00136893,-0.300775,0.0628815,0.0628815,-0.0642504,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0263879,0.0236006,0,0,0.00129645,0.0101852,0,1,0,0,0,0,0,0,-40.8983,-20,10
0.196,0.36,0.5,0,-0.02481,0,-0.02481,-0.350748,-0.00136893,-0.300775,0.0628815,0.0628815,-0.0642504,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0263879,0.0236284,0,0,0.00103669,0.00659383,0,1,0,0,0,0,0,0,-45.2822,-20,10
0.2,0.36,0.5,0,-0.03531,0,-0.03531,-0.438211,-0.00278007,-0.270388,0.0628815,0.0628815,-0.0656616,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0269667,0.023655,0,0,0.000747075,0.00304959,0,1,0,0,0,0,0,0,-48.177,-20,10
0.205,0.36,0.5,0,-0.03531,0,-0.03531,-0.438211,-0.00278007,-0.270388,0.0628815,0.0628815,-0.0656616,0,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0269667,0.0236879,0,0,0.000388301,-0.00134103,0,1,0,0,0,0,0,0,-48.177,-20,10
