time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.091,0.36,0.5,0,-0,0,-0,-0.0213949,-0.00397316,-0.307137,0.0604528,0.0604528,-0.0644259,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0264561,0.0264561,0,0,-0,-0.0213949,0,1,0,0,0,0,0,0,-30.0412,-20,10
0.095,0.36,0.5,0,-4.98604e-05,0,-4.98604e-05,-0.0208251,-0.00397316,-0.307137,0.0604528,0.0604528,-0.0644259,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0264561,0.0264561,0,0,-3.97292e-07,-0.0213903,0,1,0,0,0,0,0,0,-30.0148,-20,10
0.1,0.36,0.5,0,-4.98604e-05,0,-4.98604e-05,-0.0208251,-0.00397316,-0.307137,0.0604528,0.0604528,-0.0644259,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0264561,0.0264561,0,0,-8.89459e-07,-0.0213847,0,1,0,0,0,0,0,0,-30.0148,-20,10
0.105,0.36,0.5,0,-0.00163588,0,-0.00163588,-0.0459562,-0.0121815,-0.388008,0.0604528,0.0604528,-0.0726343,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0298232,0.0264896,0,0,-1.71579e-05,-0.0216292,0,1,0,0,0,0,0,0,-37.0502,-20,10
0.11,0.36,0.5,0,-0.00567699,0,-0.00567699,-0.0936203,-0.0121815,-0.388008,0.0604528,0.0604528,-0.0726343,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0298232,0.0265228,0,0,-7.34742e-05,-0.0223455,0,1,0,0,0,0,0,0,-39.3112,-20,10
0.114,0.36,0.5,0,-0.0119932,0,-0.0119932,-0.160947,-0.0182956,-0.413086,0.0604528,0.0604528,-0.0787484,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0323316,0.0265691,0,0,-0.000168451,-0.0234499,0,1,0,0,0,0,0,0,-45.0551,-20,10
0.119,0.36,0.5,0,-0.0204175,0,-0.0204175,-0.245337,-0.0182956,-0.413086,0.0604528,0.0604528,-0.0787484,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0323316,0.0266264,0,0,-0.000369933,-0.0256577,0,1,0,0,0,0,0,0,-49.0661,-20,10
0.124,0.36,0.5,0,-0.0306155,0,-0.0306155,-0.33807,-0.0225359,-0.405063,0.0604528,0.0604528,-0.0829886,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0340716,0.0267005,0,0,-0.000670882,-0.0287663,0,1,0,0,0,0,0,0,-53.938,-20,10
0.129,0.36,0.5,0,-0.0411155,0,-0.0411155,-0.426166,-0.0225359,-0.405063,0.0604528,0.0604528,-0.0829886,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0340716,0.0267738,0,0,-0.00107331,-0.0327205,0,1,0,0,0,0,0,0,-58.1357,-20,10
0.134,0.36,0.5,0,-0.0516155,0,-0.0516155,-0.509858,-0.0261786,-0.396679,0.0604528,0.0604528,-0.0866313,0,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0355666,0.0268613,0,0,-0.00157622,-0.0374681,0,1,0,0,0,0,0,0,-62.444,-20,10
