time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-7.89719e-18,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,-0,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.018,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-7.89719e-18,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,7.76671e-33,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.023,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.32228e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.027,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,4.16965e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.032,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,7.23485e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.037,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.04093e-18,-2.48737e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.0887e-15,-1.89126e-14,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.041,0.36,0.5,0,-0.000123235,0,-0.000123235,-0.00126613,0.000916686,-0.000442012,0.0616672,0.0616672,-0.0607505,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0249504,0.0253234,0,0,-9.81947e-07,-1.00886e-05,0,1,0,0,0,0,0,0,-12.5664,-12.5664,6.28319
0.046,0.36,0.5,0,-0.000618117,0,-0.000618117,-0.00858318,0.000916686,-0.000442012,0.0616672,0.0616672,-0.0607505,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0249504,0.0253197,0,0,-7.12255e-06,-9.53923e-05,0,1,0,0,0,0,0,0,-12.9127,-12.9127,6.45636
0.051,0.36,0.5,0,-0.0017206,0,-0.0017206,-0.0215209,0.00381298,0.0986678,0.0616672,0.0616672,-0.0578542,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0237624,0.0253042,0,0,-2.41719e-05,-0.00030858,0,1,0,0,0,0,0,0,-7.83325,-7.83325,3.91662
0.056,0.36,0.5,0,-0.0017206,0,-0.0017206,-0.0215209,0.00381298,0.0986678,0.0616672,0.0616672,-0.0578542,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0237624,0.0252889,0,0,-4.10517e-05,-0.000519646,0,1,0,0,0,0,0,0,-7.83325,-7.83325,3.91662
