time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.033,0.36,0.5,0,-0,0,-0,3.16359e-18,-1.0538e-18,-2.41235e-17,0.0628815,0.0628815,-0.0628815,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,-0,3.16359e-18,0,1,0,1,0,0,0,0,-12.9214,-12.9214,6.46069
0.038,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.0538e-18,-2.41235e-17,0.0628815,0.0628815,-0.0628815,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0258264,0.0258264,0,0,1.37524e-06,3.14067e-05,0,1,0,1,0,0,0,0,-12.7354,-12.7354,6.3677
0.042,0.36,0.5,0,3.2716e-05,0,3.2716e-05,-0.000370722,0.000614055,0.0245302,0.0628815,0.0628815,-0.0622674,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0255745,0.0258239,0,0,1.68709e-06,2.74054e-05,0,1,0,1,0,0,0,0,-11.5506,-11.5506,5.7753
0.047,0.36,0.5,0,-0.000754192,0,-0.000754192,-0.0106319,0.000614055,0.0245302,0.0628815,0.0628815,-0.0622674,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0255745,0.0258214,0,0,-5.83404e-06,-7.86563e-05,0,1,0,1,0,0,0,0,-12.0368,-12.0368,6.01842
0.051,0.36,0.5,0,-0.00137842,0,-0.00137842,-0.0199714,0.017488,0.589075,0.0628815,0.0628815,-0.0453935,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0186526,0.0257643,0,0,-1.6771e-05,-0.000237163,0,1,0,1,0,0,0,0,20.0279,20,-10
0.056,0.36,0.5,0,-0.00303988,0,-0.00303988,-0.0394073,0.017488,0.589075,0.0628815,0.0628815,-0.0453935,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0186526,0.0256935,0,0,-4.68514e-05,-0.000626913,0,1,0,1,0,0,0,0,19.1059,19.1059,-9.55294
0.061,0.36,0.5,0,-0.00472892,0,-0.00472892,-0.051413,0.036768,0.660382,0.0628815,0.0628815,-0.0261135,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0107383,0.0255447,0,0,-9.34388e-05,-0.00113224,0,1,0,1,0,0,0,0,26.162,20,-10
0.066,0.36,0.5,0,-0.00580867,0,-0.00580867,-0.0570264,0.036768,0.660382,0.0628815,0.0628815,-0.0261135,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0107383,0.0253974,0,0,-0.000150306,-0.0016884,0,1,0,1,0,0,0,0,25.892,20,-10
0.07,0.36,0.5,0,-0.00580867,0,-0.00580867,-0.0570264,0.0323093,0.3135,0.0628815,0.0628815,-0.0305722,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0125694,0.0252952,0,0,-0.000195393,-0.00212934,0,1,0,1,0,0,0,0,7.13265,7.13265,-3.56633
0.075,0.36,0.5,0,-0.0061159,0,-0.0061159,-0.0517686,0.0323093,0.3135,0.0628815,0.0628815,-0.0305722,2,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0,0.0125694,0.0251686,0,0,-0.000254303,-0.00262326,0,1,0,1,0,0,0,0,7.37743,7.37743,-3.68872
