time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.047,0.36,0.5,0,-0,0,-0,-3.80908e-13,0.0122014,-0.0304557,0.0592381,0.0592381,-0.0470367,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0193214,0.0193214,0,0,-0,-3.80908e-13,0,1,0,1,0,0,0,0,-11.2321,-11.2321,5.61603
0.052,0.36,0.5,0,1.38905e-14,0,1.38905e-14,-3.78091e-13,0.0028419,-0.198808,0.0592381,0.0592381,-0.0563962,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0231607,0.0193596,0,0,1.38212e-16,-3.8088e-13,0,1,0,1,0,0,0,0,-21.8151,-20,10
0.057,0.36,0.5,0,2.64946e-14,0,2.64946e-14,-3.73085e-13,0.0028419,-0.198808,0.0592381,0.0592381,-0.0563962,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0231607,0.0193975,0,0,4.00463e-16,-3.80802e-13,0,1,0,1,0,0,0,0,-21.8151,-20,10
0.062,0.36,0.5,0,3.79185e-14,0,3.79185e-14,-3.66391e-13,-0.00617901,-0.329837,0.0592381,0.0592381,-0.0654171,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0268609,0.0194569,0,0,6.9941e-16,-3.80687e-13,0,1,0,1,0,0,0,0,-30.4088,-20,10
0.066,0.36,0.5,0,4.82626e-14,0,4.82626e-14,-3.58406e-13,-0.00617901,-0.329837,0.0592381,0.0592381,-0.0654171,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0268609,0.0195306,0,0,1.17267e-15,-3.80466e-13,0,1,0,1,0,0,0,0,-30.4088,-20,10
0.071,0.36,0.5,0,5.76215e-14,0,5.76215e-14,-3.49451e-13,-0.0149704,-0.432346,0.0592381,0.0592381,-0.0742085,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0304673,0.0196394,0,0,1.73435e-15,-3.80157e-13,0,1,0,1,0,0,0,0,-37.4882,-20,10
0.076,0.36,0.5,0,6.60833e-14,0,6.60833e-14,-3.39783e-13,-0.0149704,-0.432346,0.0592381,0.0592381,-0.0742085,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0304673,0.0197472,0,0,2.37463e-15,-3.79755e-13,0,1,0,1,0,0,0,0,-37.4882,-20,10
0.081,0.36,0.5,0,7.37295e-14,0,7.37295e-14,-3.29609e-13,-0.0236035,-0.512873,0.0592381,0.0592381,-0.0828416,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0340097,0.0198891,0,0,3.08462e-15,-3.79256e-13,0,1,0,1,0,0,0,0,-43.4044,-20,10
0.085,0.36,0.5,0,8.06354e-14,0,8.06354e-14,-3.19097e-13,-0.0236035,-0.512873,0.0592381,0.0592381,-0.0828416,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0340097,0.0200016,0,0,3.70255e-15,-3.78777e-13,0,1,0,1,0,0,0,0,-43.4044,-20,10
0.09,0.36,0.5,0,8.06354e-14,0,8.06354e-14,-3.19097e-13,-0.0321254,-0.576341,0.0592381,0.0592381,-0.0913636,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0375079,0.0201758,0,0,4.46805e-15,-3.78183e-13,0,1,0,1,0,0,0,0,-48.4203,-20,10
0.095,0.36,0.5,0,8.68701e-14,0,8.68701e-14,-3.08383e-13,-0.0321254,-0.576341,0.0592381,0.0592381,-0.0913636,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0375079,0.0203482,0,0,5.28796e-15,-3.77489e-13,0,1,0,1,0,0,0,0,-48.4203,-20,10
0.1,0.36,0.5,0,2.74165e-05,0,2.74165e-05,0.000256711,-0.0321254,-0.576341,0.0592381,0.0592381,-0.0913636,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0375079,0.020519,0,0,2.72799e-07,2.55431e-06,0,1,0,1,0,0,0,0,-48.4081,-20,10
0.105,0.36,0.5,0,-0.00150773,0,-0.00150773,-0.0254222,-0.0402649,-0.606904,0.0592381,0.0592381,-0.099503,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0408509,0.0207213,0,0,-1.47321e-05,-0.000250426,0,1,0,1,0,0,0,0,-52.8669,-20,10
0.11,0.36,0.5,0,-0.00552002,0,-0.00552002,-0.0738233,-0.0402649,-0.606904,0.0592381,0.0592381,-0.099503,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0408509,0.0208817,0,0,-5.85987e-05,-0.000836661,0,1,0,1,0,0,0,0,-55.1624,-20,10
0.114,0.36,0.5,0,-0.0118263,0,-0.0118263,-0.142036,-0.0465916,-0.596032,0.0592381,0.0592381,-0.10583,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0434509,0.0211063,0,0,-0.000175689,-0.00224161,0,1,0,1,0,0,0,0,-59.1422,-20,10
0.119,0.36,0.5,0,-0.0202569,0,-0.0202569,-0.227425,-0.0465916,-0.596032,0.0592381,0.0592381,-0.10583,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0434509,0.0213286,0,0,-0.0003755,-0.00448223,0,1,0,1,0,0,0,0,-63.2001,-20,10
0.124,0.36,0.5,0,-0.0304671,0,-0.0304671,-0.321054,-0.0512484,-0.562229,0.0592381,0.0592381,-0.110487,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0453656,0.0215678,0,0,-0.000674916,-0.00763216,0,1,0,1,0,0,0,0,-66.8737,-20,10
0.129,0.36,0.5,0,-0.0409671,0,-0.0409671,-0.410001,-0.0512484,-0.562229,0.0592381,0.0592381,-0.110487,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0453656,0.0218045,0,0,-0.00107583,-0.0116358,0,1,0,1,0,0,0,0,-71.1113,-20,10
0.134,0.36,0.5,0,-0.0514671,0,-0.0514671,-0.494501,-0.0554374,-0.534887,0.0592381,0.0592381,-0.114676,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0470887,0.0220561,0,0,-0.00157723,-0.0164404,0,1,0,1,0,0,0,0,-74.5946,-20,10
0.139,0.36,0.5,0,-0.0619671,0,-0.0619671,-0.574776,-0.0554374,-0.534887,0.0592381,0.0592381,-0.114676,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0470887,0.0222556,0,0,-0.00205842,-0.0208893,0,1,0,1,0,0,0,0,-78.4253,-20,10
0.143,0.36,0.5,0,-0.0724671,0,-0.0724671,-0.651037,-0.0596279,-0.512796,0.0592381,0.0592381,-0.118866,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0488132,0.0225198,0,0,-0.002759,-0.0271593,0,1,0,1,0,0,0,0,-81.7925,-20,10
0.148,0.36,0.5,0,-0.0829671,0,-0.0829671,-0.723485,-0.0596279,-0.512796,0.0592381,0.0592381,-0.118866,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0488132,0.0227815,0,0,-0.00355709,-0.0340879,0,1,0,1,0,0,0,0,-85.256,-20,10
0.153,0.36,0.5,0,-0.0934671,0,-0.0934671,-0.792311,-0.0638205,-0.494963,0.0592381,0.0592381,-0.123059,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0505395,0.0230577,0,0,-0.0044517,-0.0416323,0,1,0,1,0,0,0,0,-88.4938,-20,10
0.158,0.36,0.5,0,-0.103967,0,-0.103967,-0.857695,-0.0638205,-0.494963,0.0592381,0.0592381,-0.123059,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0505395,0.0233311,0,0,-0.0054419,-0.0497523,0,1,0,1,0,0,0,0,-91.626,-20,10
0.163,0.36,0.5,0,-0.114467,0,-0.114467,-0.919811,-0.0680154,-0.480578,0.0592381,0.0592381,-0.127254,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0522676,0.023619,0,0,-0.00652672,-0.0584095,0,1,0,1,0,0,0,0,-94.7268,-20,10
0.168,0.36,0.5,0,-0.124967,0,-0.124967,-0.97882,-0.0680154,-0.480578,0.0592381,0.0592381,-0.127254,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0522676,0.0239041,0,0,-0.00770522,-0.0675678,0,1,0,1,0,0,0,0,-97.5599,-20,10
0.172,0.36,0.5,0,-0.135467,0,-0.135467,-1.03488,-0.0722126,-0.468981,0.0592381,0.0592381,-0.131451,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0539977,0.0241439,0,0,-0.00872324,-0.0752754,0,1,0,1,0,0,0,0,-100.52,-20,10
0.177,0.36,0.5,0,-0.145967,0,-0.145967,-1.08814,-0.0722126,-0.468981,0.0592381,0.0592381,-0.131451,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0539977,0.0244409,0,0,-0.0100888,-0.0853535,0,1,0,1,0,0,0,0,-103.084,-20,10
0.182,0.36,0.5,0,-0.156467,0,-0.156467,-1.13873,-0.076412,-0.459636,0.0592381,0.0592381,-0.13565,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0557297,0.0247523,0,0,-0.0115453,-0.0958348,0,1,0,1,0,0,0,0,-105.904,-20,10
