time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.015,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0604528,0.0604528,-0.0604528,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0248264,0.0248264,0,0,-0,1.56112e-28,0,1,0,1,0,0,0,0,-12.4223,-12.4223,6.21115
0.02,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0604528,0.0604528,-0.0604528,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0248264,0.0248264,0,0,7.76671e-33,1.56112e-28,0,1,0,1,0,0,0,0,-12.4223,-12.4223,6.21115
0.025,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0604528,0.0604528,-0.0604528,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0248264,0.0248264,0,0,2.0144e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.4223,-12.4223,6.21115
0.029,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0604528,0.0604528,-0.0604528,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0248264,0.0248264,0,0,4.32437e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.4223,-12.4223,6.21115
0.034,0.36,0.5,0,2.22176e-21,0,2.22176e-21,3.66553e-20,-1.04153e-18,-2.49113e-17,0.0604528,0.0604528,-0.0604528,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0248264,0.0248264,0,0,2.21069e-23,3.64726e-22,0,1,0,1,0,0,0,0,-12.4223,-12.4223,6.21115
0.039,0.36,0.5,0,-0.000454969,0,-0.000454969,-0.00240641,-1.04153e-18,-2.49113e-17,0.0604528,0.0604528,-0.0604528,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0248264,0.0248264,0,0,-4.52702e-06,-2.39442e-05,0,1,0,1,0,0,0,0,-12.538,-12.538,6.269
0.043,0.36,0.5,0,-0.0011996,0,-0.0011996,-0.0122499,0.00258863,0.0759531,0.0604528,0.0604528,-0.0578641,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0237646,0.0248179,0,0,-1.40495e-05,-0.000121362,0,1,0,1,0,0,0,0,-8.56554,-8.56554,4.28277
0.048,0.36,0.5,0,-0.00254565,0,-0.00254565,-0.0274081,0.00258863,0.0759531,0.0604528,0.0604528,-0.0578641,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0237646,0.0248075,0,0,-3.92393e-05,-0.000392869,0,1,0,1,0,0,0,0,-9.28497,-9.28497,4.64248
0.053,0.36,0.5,0,-0.00434093,0,-0.00434093,-0.0454335,0.00915947,0.21754,0.0604528,0.0604528,-0.0512933,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0210693,0.0247703,0,0,-8.20418e-05,-0.00084103,0,1,0,1,0,0,0,0,-1.50839,-1.50839,0.754196
0.058,0.36,0.5,0,-0.00652601,0,-0.00652601,-0.0665671,0.00915947,0.21754,0.0604528,0.0604528,-0.0512933,2,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,0,0.0210693,0.0247334,0,0,-0.00014616,-0.00149502,0,1,0,1,0,0,0,0,-2.51333,-2.51333,1.25666
