time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.014,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,-0,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.019,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,6.21957e-33,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.023,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,2.16911e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.028,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,4.47754e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.033,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,7.53967e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.037,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.04093e-18,-2.48737e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,1.37524e-06,3.14067e-05,0,1,0,1,0,0,0,0,-11.9867,-11.9867,5.99337
0.042,0.36,0.5,0,5.58429e-05,0,5.58429e-05,1.14777e-05,0.000561735,0.0211743,0.0592381,0.0592381,-0.0586764,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024096,0.0243241,0,0,1.9172e-06,3.12084e-05,0,1,0,1,0,0,0,0,-10.9672,-10.9672,5.48361
0.047,0.36,0.5,0,-0.000660259,0,-0.000660259,-0.00941395,0.000561735,0.0211743,0.0592381,0.0592381,-0.0586764,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024096,0.0243218,0,0,-4.67156e-06,-6.27725e-05,0,1,0,1,0,0,0,0,-11.4138,-11.4138,5.70691
0.051,0.36,0.5,0,-0.00190477,0,-0.00190477,-0.0233838,0.00439785,0.129479,0.0592381,0.0592381,-0.0548403,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0225225,0.0243075,0,0,-1.98117e-05,-0.000248597,0,1,0,1,0,0,0,0,-5.71759,-5.71759,2.85879
0.056,0.36,0.5,0,-0.00365671,0,-0.00365671,-0.0417692,0.00439785,0.129479,0.0592381,0.0592381,-0.0548403,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0225225,0.0242897,0,0,-5.59994e-05,-0.000661733,0,1,0,1,0,0,0,0,-6.59092,-6.59092,3.29546
0.061,0.36,0.5,0,-0.00574765,0,-0.00574765,-0.0614146,0.0123286,0.274421,0.0592381,0.0592381,-0.0469095,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0192693,0.0242398,0,0,-0.000112632,-0.00126623,0,1,0,1,0,0,0,0,1.55986,1.55986,-0.77993
0.066,0.36,0.5,0,-0.00574765,0,-0.00574765,-0.0614146,0.0123286,0.274421,0.0592381,0.0592381,-0.0469095,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0192693,0.0241903,0,0,-0.000168702,-0.00186472,0,1,0,1,0,0,0,0,1.55986,1.55986,-0.77993
0.07,0.36,0.5,0,-0.00736247,0,-0.00736247,-0.0771296,0.0435033,0.681596,0.0592381,0.0592381,-0.0157348,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0064712,0.0240491,0,0,-0.000226022,-0.00246444,0,1,0,1,0,0,0,0,28.1632,20,-10
0.075,0.36,0.5,0,-0.00949659,0,-0.00949659,-0.0956733,0.0435033,0.681596,0.0592381,0.0592381,-0.0157348,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0064712,0.0238742,0,0,-0.000318266,-0.00339188,0,1,0,1,0,0,0,0,27.2801,20,-10
0.08,0.36,0.5,0,-0.0119862,0,-0.0119862,-0.11687,0.0435033,0.681596,0.0592381,0.0592381,-0.0157348,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0064712,0.0237011,0,0,-0.000434364,-0.00452101,0,1,0,1,0,0,0,0,26.2703,20,-10
0.085,0.36,0.5,0,-0.0142431,0,-0.0142431,-0.130839,0.0551942,0.586146,0.0592381,0.0592381,-0.00404393,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00166416,0.0234818,0,0,-0.000571763,-0.00577789,0,1,0,1,0,0,0,0,23.0936,20,-10
0.09,0.36,0.5,0,-0.0157355,0,-0.0157355,-0.133697,0.0551942,0.586146,0.0592381,0.0592381,-0.00404393,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00166416,0.0232647,0,0,-0.000722645,-0.0070507,0,1,0,1,0,0,0,0,22.9503,20,-10
0.094,0.36,0.5,0,-0.014956,0,-0.014956,-0.108687,0.0487212,0.320557,0.0592381,0.0592381,-0.0105169,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0043264,0.0231138,0,0,-0.000836057,-0.00786055,0,1,0,1,0,0,0,0,9.1368,9.1368,-4.5684
0.099,0.36,0.5,0,-0.0115378,0,-0.0115378,-0.0593579,0.0487212,0.320557,0.0592381,0.0592381,-0.0105169,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0043264,0.0229269,0,0,-0.000942542,-0.00837295,0,1,0,1,0,0,0,0,11.4721,11.4721,-5.73605
0.104,0.36,0.5,0,-0.00654937,0,-0.00654937,-0.00314178,0.0398088,0.0846713,0.0592381,0.0592381,-0.0194294,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00798924,0.0227782,0,0,-0.000998331,-0.0083209,0,1,0,1,0,0,0,0,0.175164,0.175164,-0.0875822
0.109,0.36,0.5,0,-0.000489907,0,-0.000489907,0.0619059,0.0398088,0.0846713,0.0592381,0.0592381,-0.0194294,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00798924,0.0226311,0,0,-0.000993272,-0.00762214,0,1,0,1,0,0,0,0,3.26417,3.26417,-1.63209
0.114,0.36,0.5,0,0.00577841,0,0.00577841,0.119632,0.0304545,-0.105351,0.0592381,0.0592381,-0.0287836,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0118309,0.0225236,0,0,-0.000925892,-0.00635594,0,1,0,1,0,0,0,0,-5.68569,-5.68569,2.84284
0.118,0.36,0.5,0,0.0118976,0,0.0118976,0.174696,0.0304545,-0.105351,0.0592381,0.0592381,-0.0287836,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0118309,0.0224384,0,0,-0.000823714,-0.0049133,0,1,0,1,0,0,0,0,-3.0647,-3.0647,1.53235
0.123,0.36,0.5,0,0.0173234,0,0.0173234,0.215463,0.0215958,-0.244742,0.0592381,0.0592381,-0.0376423,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.015467,0.0223691,0,0,-0.000643147,-0.00272053,0,1,0,1,0,0,0,0,-10.1092,-10.1092,5.0546
0.128,0.36,0.5,0,0.0218504,0,0.0218504,0.246897,0.0215958,-0.244742,0.0592381,0.0592381,-0.0376423,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.015467,0.0223004,0,0,-0.000419333,-0.000236789,0,1,0,1,0,0,0,0,-8.60659,-8.60659,4.30329
