time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,-0,1.56112e-28,0,1,1,1,0,0.005,0,0,0,0,0,0,0,0.005,0,0,-10.1747,-10.1747,5.08737
0.018,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,7.76671e-33,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-10.1747,-10.1747,5.08737
0.022,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,2.0144e-32,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-10.1747,-10.1747,5.08737
0.027,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,4.32437e-32,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-10.1747,-10.1747,5.08737
0.032,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,7.38802e-32,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-10.1747,-10.1747,5.08737
0.036,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.04093e-18,-2.48737e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,1.67263e-15,-1.51452e-14,0,1,0,1,0,0,0,0,0,0,0,-1.48463e-13,0,0,0,0,-10.1747,-10.1747,5.08737
0.041,0.36,0.5,0,-0.000123235,0,-0.000123235,-0.00126613,0.000916686,-0.000442012,0.0495151,0.0495151,-0.0485984,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0199504,0.0203227,0,0,-1.22621e-06,-1.25982e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000122884,0,0,0,0,-10.0693,-10.0693,5.03463
0.046,0.36,0.5,0,-0.00054132,0,-0.00054132,-0.0073081,0.000916686,-0.000442012,0.0495151,0.0495151,-0.0485984,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0199504,0.020319,0,0,-6.60023e-06,-8.51897e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000824957,0,0,0,0,-10.3553,-10.3553,5.17765
0.051,0.36,0.5,0,-0.0014416,0,-0.0014416,-0.0177942,0.00316834,0.0765803,0.0495151,0.0495151,-0.0463467,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0190268,0.0203061,0,0,-2.08788e-05,-0.000261397,0,1,0,1,0,0,0,0,0,0,0,-0.00250347,0,0,0,0,-6.42818,-6.42818,3.21409
0.055,0.36,0.5,0,-0.0014416,0,-0.0014416,-0.0177942,0.00316834,0.0765803,0.0495151,0.0495151,-0.0463467,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0190268,0.0202959,0,0,-3.21992e-05,-0.0004011,0,1,0,1,0,0,0,0,0,0,0,-0.00377476,0,0,0,0,-6.42818,-6.42818,3.21409
0.06,0.36,0.5,0,-0.00208673,0,-0.00208673,-0.0267506,0.00316834,0.0765803,0.0495151,0.0495151,-0.0463467,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0190268,0.0202833,0,0,-5.26421e-05,-0.000663282,0,1,0,1,0,0,0,0,0,0,0,-0.00614802,0,0,0,0,-6.85235,-6.85235,3.42617
0.065,0.36,0.5,0,-0.00357169,0,-0.00357169,-0.0429312,0.0306417,0.477486,0.0495151,0.0495151,-0.0188734,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00775405,0.0201586,0,0,-8.76572e-05,-0.00108386,0,1,0,1,0,0,0,0,0,0,0,-0.0099505,0,0,0,0,18.6469,18.6469,-9.32343
0.07,0.36,0.5,0,-0.00580894,0,-0.00580894,-0.065798,0.0306417,0.477486,0.0495151,0.0495151,-0.0188734,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00775405,0.0200352,0,0,-0.000144585,-0.00172777,0,1,0,1,0,0,0,0,0,0,0,-0.015746,0,0,0,0,17.5603,17.5603,-8.78015
0.074,0.36,0.5,0,-0.00880061,0,-0.00880061,-0.095174,0.0429659,0.510527,0.0495151,0.0495151,-0.00654919,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00269207,0.019897,0,0,-0.000213557,-0.00247236,0,1,0,1,0,0,0,0,0,0,0,-0.0224276,0,0,0,0,20.3958,20,-10
0.079,0.36,0.5,0,-0.0115245,0,-0.0115245,-0.112248,0.0429659,0.510527,0.0495151,0.0495151,-0.00654919,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00269207,0.0197258,0,0,-0.000326103,-0.00356465,0,1,0,1,0,0,0,0,0,0,0,-0.0319881,0,0,0,0,19.578,19.578,-9.78899
0.084,0.36,0.5,0,-0.0119283,0,-0.0119283,-0.0997594,0.042285,0.369977,0.0495151,0.0495151,-0.00723001,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00297183,0.0195591,0,0,-0.000441547,-0.0045218,0,1,0,1,0,0,0,0,0,0,0,-0.0397642,0,0,0,0,12.7918,12.7918,-6.39589
0.089,0.36,0.5,0,-0.00963467,0,-0.00963467,-0.061986,0.042285,0.369977,0.0495151,0.0495151,-0.00723001,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00297183,0.019394,0,0,-0.00053302,-0.00509358,0,1,0,1,0,0,0,0,0,0,0,-0.0434021,0,0,0,0,14.578,14.578,-7.28902
