time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-7.89719e-18,0.0628815,0.0616672,-0.0616672,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0258264,0.0258264,0,0,-0,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-7.89719e-18,0.0628815,0.0616672,-0.0616672,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0258264,0.0258264,0,0,6.21957e-33,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.022,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0628815,0.0616672,-0.0616672,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0258264,0.0258264,0,0,2.16911e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.027,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0628815,0.0616672,-0.0616672,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0258264,0.0258264,0,0,4.47754e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.031,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.48737e-17,0.0628815,0.0616672,-0.0616672,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0258264,0.0258264,0,0,6.92969e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.036,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.03644e-18,-2.48737e-17,0.0628815,0.0616672,-0.0616672,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0258264,0.0258264,0,0,2.0887e-15,-1.89126e-14,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.041,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0628815,0.0616672,-0.0610251,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.025563,0.0258238,0,0,3.4595e-15,-3.495e-14,0,1,0,0,0,0,0,0,-13.1346,-13.1346,6.56729
0.045,0.36,0.5,0,1.52054e-13,0,1.52054e-13,-1.37353e-12,0.000642101,-0.0115605,0.0628815,0.0616672,-0.0610251,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.025563,0.0258217,0,0,4.64352e-15,-4.56159e-14,0,1,0,0,0,0,0,0,-13.1346,-13.1346,6.56729
0.05,0.36,0.5,0,1.52054e-13,0,1.52054e-13,-1.37353e-12,0.000642101,-0.0115605,0.0628815,0.0616672,-0.0610251,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.025563,0.0258191,0,0,6.11028e-15,-5.88289e-14,0,1,0,0,0,0,0,0,-13.1346,-13.1346,6.56729
0.055,0.36,0.5,0,4.9021e-13,0,4.9021e-13,-3.19012e-12,0.0138583,0.473512,0.0628815,0.0616672,-0.0478089,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0201417,0.0257626,0,0,1.09271e-14,-8.99857e-14,0,1,0,0,0,0,0,0,14.5327,14.5327,-7.26633
0.06,0.36,0.5,0,-0.000304256,0,-0.000304256,-0.00441555,0.0138583,0.473512,0.0628815,0.0616672,-0.0478089,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0201417,0.0257067,0,0,-3.0274e-06,-4.39354e-05,0,1,0,0,0,0,0,0,14.3236,14.3236,-7.16182
0.064,0.36,0.5,0,-0.000579718,0,-0.000579718,-0.00526526,0.0271099,0.461359,0.0628815,0.0616672,-0.0345573,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0147039,0.025619,0,0,-7.62252e-06,-8.55394e-05,0,1,0,0,0,0,0,0,16.38,16.38,-8.18998
0.069,0.36,0.5,0,-0.000525455,0,-0.000525455,-0.00286899,0.0271099,0.461359,0.0628815,0.0616672,-0.0345573,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0147039,0.0255104,0,0,-1.2775e-05,-0.000113235,0,1,0,0,0,0,0,0,16.4927,16.4927,-8.24635
0.074,0.36,0.5,0,2.41161e-05,0,2.41161e-05,0.00635928,0.0182517,0.0815058,0.0628815,0.0616672,-0.0434155,1,-0.0005,0.0616672,-0.0253264,-0.0258264,0.410174,0.0005,0.0005,0.0183392,0.0254391,0,0,-1.2408e-05,-4.88326e-05,0,1,0,0,0,0,0,0,-4.43032,-4.43032,2.21516
