time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-6.29022e-18,0.0604528,0.0616672,-0.0616672,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0248264,0.0248264,0,0,-0,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-6.29022e-18,0.0604528,0.0616672,-0.0616672,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0248264,0.0248264,0,0,6.21957e-33,1.56112e-28,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.022,0.36,0.5,0,2.22176e-21,0,2.22176e-21,3.66553e-20,-4.69465e-19,-1.36575e-17,0.0604528,0.0616672,-0.0616672,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0248264,0.0248264,0,0,2.21069e-23,3.64726e-22,0,1,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.027,0.36,0.5,0,-0.00100796,0,-0.00100796,-0.0166265,-4.69465e-19,-1.36575e-17,0.0604528,0.0616672,-0.0616672,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0248264,0.0248264,0,0,-1.00293e-05,-0.000165437,0,1,0,0,0,0,0,0,-13.4581,-13.4581,6.72905
0.031,0.36,0.5,0,-0.00360299,0,-0.00360299,-0.0478016,0.000943963,0.0318649,0.0604528,0.0616672,-0.0607233,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0244392,0.0248233,0,0,-3.86583e-05,-0.000545006,0,1,0,0,0,0,0,0,-13.1036,-13.1036,6.55179
0.036,0.36,0.5,0,-0.00643288,0,-0.00643288,-0.0598448,0.000943963,0.0318649,0.0604528,0.0616672,-0.0607233,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0244392,0.0248195,0,0,-0.000102282,-0.00113505,0,1,0,0,0,0,0,0,-13.686,-13.686,6.84301
0.04,0.36,0.5,0,-0.00643288,0,-0.00643288,-0.0598448,0.000943963,0.0318649,0.0604528,0.0616672,-0.0607233,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0244392,0.0248165,0,0,-0.000152725,-0.00160285,0,1,0,0,0,0,0,0,-13.686,-13.686,6.84301
0.045,0.36,0.5,0,-0.00837932,0,-0.00837932,-0.0788327,0.00788188,0.207573,0.0604528,0.0616672,-0.0537853,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0215934,0.0247844,0,0,-0.000234581,-0.0023713,0,1,0,0,0,0,0,0,-4.12496,-4.12496,2.06248
0.05,0.36,0.5,0,-0.0109533,0,-0.0109533,-0.103051,0.00788188,0.207573,0.0604528,0.0616672,-0.0537853,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0215934,0.0247526,0,0,-0.000341234,-0.00337308,0,1,0,0,0,0,0,0,-5.27701,-5.27701,2.63851
0.054,0.36,0.5,0,-0.0134301,0,-0.0134301,-0.126726,0.0331654,0.901867,0.0604528,0.0616672,-0.0285018,1,0.0005,0.0616672,-0.0253264,-0.0248264,0.410174,-0.0005,-0.0005,0.0112178,0.0246448,0,0,-0.000445527,-0.00435597,0,1,0,0,0,0,0,0,34.506,20,-10
