time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0738012,0.0738012,-0.0738012,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303264,0.0303264,0,0,-0,1.56112e-28,0,1,1,1,0,0.004,0,0,0,0,0,0,0,0.004,0,0,-15.1652,-15.1652,7.58262
0.018,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0738012,0.0738012,-0.0738012,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303264,0.0303264,0,0,7.76671e-33,1.56112e-28,0,1,1,1,0,0.009,0,0,0,0,0,0,0,0.009,0,0,-15.1652,-15.1652,7.58262
0.023,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0738012,0.0738012,-0.0738012,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303264,0.0303264,0,0,2.32228e-32,1.56112e-28,0,1,1,1,0,0.014,0,0,0,0,0,0,0,0.014,0,0,-15.1652,-15.1652,7.58262
0.027,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0738012,0.0738012,-0.0738012,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303264,0.0303264,0,0,4.16965e-32,1.56112e-28,0,1,1,1,0,0.018,0,0,0,0,0,0,0,0.018,0,0,-15.1652,-15.1652,7.58262
0.032,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.38193e-17,0.0738012,0.0738012,-0.0738012,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303264,0.0303264,0,0,7.23485e-32,1.56112e-28,0,1,1,1,0,0.023,0,0,0,0,0,0,0,0.023,0,0,-15.1652,-15.1652,7.58262
0.037,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.04093e-18,-2.38193e-17,0.0738012,0.0738012,-0.0738012,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303264,0.0303264,0,0,2.0887e-15,-1.89126e-14,0,1,1,1,0,0.028,0,0,0,0,0,-1.84475e-13,0,0.028,0,0,-15.1652,-15.1652,7.58262
0.041,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0738012,0.0738012,-0.0731591,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.030063,0.0303243,0,0,3.18644e-15,-3.17553e-14,0,1,0,1,0,0,0,0,0,0,0,-3.03135e-13,0,0,0,0,-15.628,-15.628,7.81398
0.046,0.36,0.5,0,1.57392e-13,0,1.57392e-13,-1.37353e-12,0.000642101,-0.0115605,0.0738012,0.0738012,-0.0731591,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.030063,0.0303217,0,0,4.72081e-15,-4.51063e-14,0,1,0,1,0,0,0,0,0,0,0,-4.18578e-13,0,0,0,0,-15.628,-15.628,7.81398
0.051,0.36,0.5,0,1.9349e-05,0,1.9349e-05,0.000321398,-9.50446e-05,-0.0266513,0.0738012,0.0738012,-0.0738962,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303654,0.0303221,0,0,1.92525e-07,3.19796e-06,0,1,0,1,0,0,0,0,0,0,0,3.11933e-05,0,0,0,0,-16.5405,-16.5405,8.27024
0.056,0.36,0.5,0,-0.000410117,0,-0.000410117,-0.00703681,-9.50446e-05,-0.0266513,0.0738012,0.0738012,-0.0738962,2,-0.005,0.0616672,-0.0253264,-0.0303264,0.410174,0.005,0,0.0303654,0.0303225,0,0,-3.07686e-06,-5.28974e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000519913,0,0,0,0,-16.8883,-16.8883,8.44417
