time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,-0,1.56112e-28,0,1,1,1,0,0.005,0,0,0,0,0,0,0,0.005,0,0,-7.67461,-7.67461,3.8373
0.018,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.76671e-33,1.56112e-28,0,1,1,1,0,0.01,0,0,0,0,0,0,0,0.01,0,0,-7.67461,-7.67461,3.8373
0.022,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,2.0144e-32,1.56112e-28,0,1,1,1,0,0.014,0,0,0,0,0,0,0,0.014,0,0,-7.67461,-7.67461,3.8373
0.027,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,4.32437e-32,1.56112e-28,0,1,1,1,0,0.019,0,0,0,0,0,0,0,0.019,0,0,-7.67461,-7.67461,3.8373
0.032,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.38802e-32,1.56112e-28,0,1,1,1,0,0.024,0,0,0,0,0,0,0,0.024,0,0,-7.67461,-7.67461,3.8373
0.036,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.04093e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,1.67263e-15,-1.51452e-14,0,1,1,1,0,0.028,0,0,0,0,0,-1.48463e-13,0,0.028,0,0,-7.67461,-7.67461,3.8373
0.041,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153238,0,0,3.04757e-15,-3.12201e-14,0,1,0,1,0,0,0,0,0,0,0,-2.98019e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.046,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153212,0,0,4.40883e-15,-4.71351e-14,0,1,0,1,0,0,0,0,0,0,0,-4.38721e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.05,0.36,0.5,0,1.57392e-13,0,1.57392e-13,-1.37353e-12,-5.03419e-05,-0.0238295,0.0373482,0.0373482,-0.0373986,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015347,0.0153214,0,0,5.62782e-15,-5.7704e-14,0,1,0,1,0,0,0,0,0,0,0,-5.25121e-13,0,0,0,0,-8.91071,-8.91071,4.45535
0.055,0.36,0.5,0,1.74995e-13,0,1.74995e-13,-1.12854e-12,-5.03419e-05,-0.0238295,0.0373482,0.0373482,-0.0373986,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015347,0.0153216,0,0,7.31305e-15,-6.8359e-14,0,1,0,1,0,0,0,0,0,0,0,-6.03441e-13,0,0,0,0,-8.91071,-8.91071,4.45535
