time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.012,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-6.29022e-18,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,-0,1.56112e-28,0,1,1,1,0,0.004,0,0,0,0,0,0,0,0.004,0,0,-10.1747,-10.1747,5.08737
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-6.29022e-18,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,7.76671e-33,1.56112e-28,0,1,1,1,0,0.009,0,0,0,0,0,0,0,0.009,0,0,-10.1747,-10.1747,5.08737
0.022,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.36199e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,2.32228e-32,1.56112e-28,0,1,1,1,0,0.014,0,0,0,0,0,0,0,0.014,0,0,-10.1747,-10.1747,5.08737
0.026,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.36199e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,4.16965e-32,1.56112e-28,0,1,1,1,0,0.018,0,0,0,0,0,0,0,0.018,0,0,-10.1747,-10.1747,5.08737
0.031,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.38193e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,7.23485e-32,1.56112e-28,0,1,1,1,0,0.023,0,0,0,0,0,0,0,0.023,0,0,-10.1747,-10.1747,5.08737
0.036,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.03644e-18,-2.38193e-17,0.0495151,0.0495151,-0.0495151,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0203264,0.0203264,0,0,2.0887e-15,-1.89126e-14,0,1,1,1,0,0.028,0,0,0,0,0,-1.84475e-13,0,0.028,0,0,-10.1747,-10.1747,5.08737
0.04,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0495151,0.0495151,-0.048873,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.020063,0.0203243,0,0,3.18644e-15,-3.17553e-14,0,1,0,1,0,0,0,0,0,0,0,-3.03135e-13,0,0,0,0,-10.6374,-10.6374,5.31872
0.045,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0495151,0.0495151,-0.048873,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.020063,0.0203217,0,0,4.54632e-15,-4.7665e-14,0,1,0,1,0,0,0,0,0,0,0,-4.43536e-13,0,0,0,0,-10.6374,-10.6374,5.31872
0.05,0.36,0.5,0,1.92785e-05,0,1.92785e-05,0.00032021,0.000642101,-0.0115605,0.0495151,0.0495151,-0.048873,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.020063,0.0203191,0,0,1.91824e-07,3.18615e-06,0,1,0,1,0,0,0,0,0,0,0,3.1078e-05,0,0,0,0,-10.6223,-10.6223,5.31115
0.055,0.36,0.5,0,-0.000256971,0,-0.000256971,-0.00449334,0.000543329,0.0182896,0.0495151,0.0495151,-0.0489717,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0201035,0.020317,0,0,-2.36699e-06,-4.1555e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000406848,0,0,0,0,-9.33469,-9.33469,4.66734
0.059,0.36,0.5,0,-0.00104548,0,-0.00104548,-0.0141274,0.000543329,0.0182896,0.0495151,0.0495151,-0.0489717,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0201035,0.0203153,0,0,-1.06786e-05,-0.000153793,0,1,0,1,0,0,0,0,0,0,0,-0.00149112,0,0,0,0,-9.79152,-9.79152,4.89576
0.064,0.36,0.5,0,-0.00155767,0,-0.00155767,-0.0217205,0.0170504,0.568671,0.0495151,0.0495151,-0.0324647,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0133321,0.0202458,0,0,-2.60714e-05,-0.000368385,0,1,0,1,0,0,0,0,0,0,0,-0.00351156,0,0,0,0,21.552,20,-10
0.069,0.36,0.5,0,-0.00299299,0,-0.00299299,-0.0383483,0.0170504,0.568671,0.0495151,0.0495151,-0.0324647,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0133321,0.020177,0,0,-5.55927e-05,-0.000746292,0,1,0,1,0,0,0,0,0,0,0,-0.00702644,0,0,0,0,20.763,20,-10
0.074,0.36,0.5,0,-0.00441264,0,-0.00441264,-0.0477283,0.0351688,0.620653,0.0495151,0.0495151,-0.0143463,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00589513,0.0200349,0,0,-9.89461e-05,-0.00121377,0,1,0,1,0,0,0,0,0,0,0,-0.0112436,0,0,0,0,26.7112,20,-10
0.079,0.36,0.5,0,-0.0051978,0,-0.0051978,-0.0504011,0.0351688,0.620653,0.0495151,0.0495151,-0.0143463,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00589513,0.0199222,0,0,-0.000139574,-0.0016057,0,1,0,1,0,0,0,0,0,0,0,-0.0146447,0,0,0,0,26.581,20,-10
0.083,0.36,0.5,0,-0.00522964,0,-0.00522964,-0.0429962,0.0293211,0.252215,0.0495151,0.0495151,-0.020194,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00829621,0.0198066,0,0,-0.000190221,-0.00201754,0,1,0,1,0,0,0,0,0,0,0,-0.0179476,0,0,0,0,6.77461,6.77461,-3.3873
0.088,0.36,0.5,0,-0.00308978,0,-0.00308978,-0.00935873,0.0293211,0.252215,0.0495151,0.0495151,-0.020194,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.00829621,0.019692,0,0,-0.000219072,-0.00209059,0,1,0,1,0,0,0,0,0,0,0,-0.0177848,0,0,0,0,8.36588,8.36588,-4.18294
0.093,0.36,0.5,0,0.000532335,0,0.000532335,0.0298215,0.0154698,-0.0610154,0.0495151,0.0495151,-0.0340453,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0139806,0.0196352,0,0,-0.000211596,-0.00177306,0,1,0,1,0,0,0,0,0,0,0,-0.0138202,0,0,0,0,-8.73209,-8.73209,4.36605
0.098,0.36,0.5,0,0.00496285,0,0.00496285,0.0757419,0.0154698,-0.0610154,0.0495151,0.0495151,-0.0340453,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0139806,0.0195789,0,0,-0.000160109,-0.00100177,0,1,0,1,0,0,0,0,0,0,0,-0.00562294,0,0,0,0,-6.55047,-6.55047,3.27523
0.102,0.36,0.5,0,0.0088605,0,0.0088605,0.104979,0.00173692,-0.298131,0.0495151,0.0495151,-0.0477781,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.019614,0.0195792,0,0,-8.8232e-05,-0.000157308,0,1,0,1,0,0,0,0,0,0,0,0.0028755,0,0,0,0,-20.1736,-20,10
0.107,0.36,0.5,0,0.011552,0,0.011552,0.122249,0.00173692,-0.298131,0.0495151,0.0495151,-0.0477781,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.019614,0.0195796,0,0,2.75899e-05,0.00106065,0,1,0,1,0,0,0,0,0,0,0,0.0146154,0,0,0,0,-19.3469,-19.3469,9.67343
0.112,0.36,0.5,0,0.0121687,0,0.0121687,0.111298,-0.0103839,-0.450875,0.0495151,0.0495151,-0.0598989,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0245857,0.0196294,0,0,0.000148396,0.00215754,0,1,0,1,0,0,0,0,0,0,0,0.0246017,0,0,0,0,-30.2044,-20,10
0.117,0.36,0.5,0,0.0102211,0,0.0102211,0.0764012,-0.0103839,-0.450875,0.0495151,0.0495151,-0.0598989,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0245857,0.0196787,0,0,0.000248621,0.00289627,0,1,0,1,0,0,0,0,0,0,0,0.0306076,0,0,0,0,-31.8536,-20,10
0.122,0.36,0.5,0,0.005879,0,0.005879,0.0196959,-0.0201157,-0.530828,0.0495151,0.0495151,-0.0696307,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0285784,0.0197672,0,0,0.000304645,0.00306343,0,1,0,1,0,0,0,0,0,0,0,0.0307453,0,0,0,0,-40.6531,-20,10
0.127,0.36,0.5,0,-0.000715549,0,-0.000715549,-0.056,-0.0201157,-0.530828,0.0495151,0.0495151,-0.0696307,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0285784,0.0198549,0,0,0.000294493,0.00247574,0,1,0,1,0,0,0,0,0,0,0,0.0235135,0,0,0,0,-44.2449,-20,10
0.131,0.36,0.5,0,-0.00939738,0,-0.00939738,-0.148137,-0.0277603,-0.559346,0.0495151,0.0495151,-0.0772754,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0317159,0.0199494,0,0,0.000217268,0.00127564,0,1,0,1,0,0,0,0,0,0,0,0.0108274,0,0,0,0,-51.6588,-20,10
0.136,0.36,0.5,0,-0.0197159,0,-0.0197159,-0.24573,-0.0277603,-0.559346,0.0495151,0.0495151,-0.0772754,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0317159,0.0200665,0,0,1.89297e-05,-0.00118211,0,1,0,1,0,0,0,0,0,0,0,-0.0136739,0,0,0,0,-56.3009,-20,10
0.141,0.36,0.5,0,-0.0302159,0,-0.0302159,-0.338444,-0.0341373,-0.572673,0.0495151,0.0495151,-0.0836524,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0343341,0.0202085,0,0,-0.000281912,-0.00453792,0,1,0,1,0,0,0,0,0,0,0,-0.0457399,0,0,0,0,-62.7111,-20,10
0.146,0.36,0.5,0,-0.0407159,0,-0.0407159,-0.426522,-0.0341373,-0.572673,0.0495151,0.0495151,-0.0836524,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0343341,0.020349,0,0,-0.000684236,-0.00873672,0,1,0,1,0,0,0,0,0,0,0,-0.0844648,0,0,0,0,-66.9079,-20,10
0.151,0.36,0.5,0,-0.0512159,0,-0.0512159,-0.510196,-0.0403914,-0.582045,0.0495151,0.0495151,-0.0899064,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0369029,0.0205137,0,0,-0.00118703,-0.0137263,0,1,0,1,0,0,0,0,0,0,0,-0.129015,0,0,0,0,-72.6653,-20,10
0.156,0.36,0.5,0,-0.0512159,0,-0.0512159,-0.510196,-0.0403914,-0.582045,0.0495151,0.0495151,-0.0899064,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0369029,0.0206443,0,0,-0.00158567,-0.0176822,0,1,0,1,0,0,0,0,0,0,0,-0.162734,0,0,0,0,-72.6653,-20,10
0.16,0.36,0.5,0,-0.0722159,0,-0.0722159,-0.665201,-0.046581,-0.58856,0.0495151,0.0495151,-0.096096,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0394465,0.0208314,0,0,-0.00228845,-0.0241252,0,1,0,1,0,0,0,0,0,0,0,-0.217643,0,0,0,0,-81.6737,-20,10
0.165,0.36,0.5,0,-0.0722159,0,-0.0722159,-0.665201,-0.046581,-0.58856,0.0495151,0.0495151,-0.096096,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0394465,0.0210166,0,0,-0.00298424,-0.030504,0,1,0,1,0,0,0,0,0,0,0,-0.269248,0,0,0,0,-81.6737,-20,10
0.17,0.36,0.5,0,-0.0827159,0,-0.0827159,-0.736941,-0.0527215,-0.590906,0.0495151,0.0495151,-0.102237,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0419714,0.0212251,0,0,-0.00377758,-0.0375331,0,1,0,1,0,0,0,0,0,0,0,-0.32468,0,0,0,0,-86.4865,-20,10
0.175,0.36,0.5,0,-0.0932159,0,-0.0932159,-0.805094,-0.0527215,-0.593017,0.0495151,0.0495151,-0.102237,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0419714,0.0214316,0,0,-0.00466751,-0.0451705,0,1,0,1,0,0,0,0,0,0,0,-0.383341,0,0,0,0,-89.8571,-20,10
0.18,0.36,0.5,0,-0.103716,0,-0.103716,-0.86984,-0.0527215,-0.593017,0.0495151,0.0495151,-0.102237,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0419714,0.0216359,0,0,-0.00565306,-0.0533761,0,1,0,1,0,0,0,0,0,0,0,-0.444683,0,0,0,0,-92.9592,-20,10
0.185,0.36,0.5,0,-0.114216,0,-0.114216,-0.931348,-0.0588242,-0.595994,0.0495151,0.0495151,-0.108339,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0444824,0.0218633,0,0,-0.00673328,-0.0621121,0,1,0,1,0,0,0,0,0,0,0,-0.508207,0,0,0,0,-97.3167,-20,10
0.19,0.36,0.5,0,-0.124716,0,-0.124716,-0.98978,-0.0588242,-0.595994,0.0495151,0.0495151,-0.108339,2,0.005,0.0616672,-0.0253264,-0.0203264,0.410174,-0.005,0,0.0444824,0.0220883,0,0,-0.00790722,-0.0713425,0,1,0,1,0,0,0,0,0,0,0,-0.573457,0,0,0,0,-100.123,-20,10
