time,gain_mode,height,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq,theta_error,k_x,k_x_dot,k_theta,k_theta_dot,u_raw,u_model,tau_each
0.810225,1,0.5,-0,0,-0,1.56112e-28,-4.64373e-19,-1.35963e-17,0.061787,-0.061787,-6.15716,-46.9226,-205.518,-51.4306,-12.6984,-12.6984,6.34918
0.815126,1,0.5,7.80559e-31,0,7.80559e-31,1.56112e-28,-4.64373e-19,-1.35963e-17,0.061787,-0.061787,-6.15716,-46.9226,-205.518,-51.4306,-12.6984,-12.6984,6.34918
0.820072,1,0.5,7.80559e-31,0,7.80559e-31,1.56112e-28,-4.64373e-19,-1.35963e-17,0.061787,-0.061787,-6.15716,-46.9226,-205.518,-51.4306,-12.6984,-12.6984,6.34918
0.825161,1,0.5,-0.00100198,0,-0.00100198,-0.0165279,0.000262513,0.0164548,0.061787,-0.0615245,-6.15716,-46.9226,-205.518,-51.4306,-12.5798,-12.5798,6.28991
0.830121,1,0.5,-0.00174452,0,-0.00174452,-0.0171688,0.000262513,0.0164548,0.061787,-0.0615245,-6.15716,-46.9226,-205.518,-51.4306,-12.6145,-12.6145,6.30723
0.835157,1,0.5,-0.00259559,0,-0.00259559,-0.0288155,0.0288327,0.505294,0.061787,-0.0329543,-6.15716,-46.9226,-205.518,-51.4306,17.8468,17.8468,-8.92338
0.840181,1,0.5,-0.00452103,0,-0.00452103,-0.0505157,0.0288327,0.505294,0.061787,-0.0329543,-6.15716,-46.9226,-205.518,-51.4306,16.8167,16.8167,-8.40834
0.845146,1,0.5,-0.00653305,0,-0.00653305,-0.0656081,0.044655,0.535726,0.061787,-0.017132,-6.15716,-46.9226,-205.518,-51.4306,20.913,20,-10
0.850121,1,0.5,-0.00803514,0,-0.00803514,-0.0751801,0.044655,0.535726,0.061787,-0.017132,-6.15716,-46.9226,-205.518,-51.4306,20.4546,20,-10
0.855103,1,0.5,-0.00792628,0,-0.00792628,-0.0636808,0.0398099,0.253838,0.061787,-0.0219771,-6.15716,-46.9226,-205.518,-51.4306,5.50146,5.50146,-2.75073
0.86012,1,0.5,-0.00551925,0,-0.00551925,-0.026456,0.0398099,0.253838,0.061787,-0.0219771,-6.15716,-46.9226,-205.518,-51.4306,7.26296,7.26296,-3.63148
0.865141,1,0.5,-0.00176159,0,-0.00176159,0.0141681,0.0297271,0.0118058,0.061787,-0.0320599,-6.15716,-46.9226,-205.518,-51.4306,-5.32776,-5.32776,2.66388
0.870108,1,0.5,0.00263025,0,0.00263025,0.0598613,0.0297271,0.0118058,0.061787,-0.0320599,-6.15716,-46.9226,-205.518,-51.4306,-3.15668,-3.15668,1.57834
0.875138,1,0.5,0.00669414,0,0.00669414,0.0932997,0.0197609,-0.170933,0.061787,-0.0420261,-6.15716,-46.9226,-205.518,-51.4306,-13.0092,-13.0092,6.5046
0.880121,1,0.5,0.00997238,0,0.00997238,0.118628,0.0197609,-0.170933,0.061787,-0.0420261,-6.15716,-46.9226,-205.518,-51.4306,-11.8005,-11.8005,5.90027
0.885098,1,0.5,0.0118493,0,0.0118493,0.123798,0.010992,-0.2903,0.061787,-0.050795,-6.15716,-46.9226,-205.518,-51.4306,-19.4877,-19.4877,9.74386
0.8901,1,0.5,0.0120169,0,0.0120169,0.112877,0.010992,-0.2903,0.061787,-0.050795,-6.15716,-46.9226,-205.518,-51.4306,-19.9992,-19.9992,9.99958
0.895097,1,0.5,0.010072,0,0.010072,0.0779191,0.00403284,-0.349238,0.061787,-0.0577542,-6.15716,-46.9226,-205.518,-51.4306,-26.1129,-20,10
0.900113,1,0.5,0.00573583,0,0.00573583,0.0212608,0.00403284,-0.349238,0.061787,-0.0577542,-6.15716,-46.9226,-205.518,-51.4306,-28.7981,-20,10
0.90511,1,0.5,-0.000842596,0,-0.000842596,-0.0542935,-0.00079999,-0.357986,0.061787,-0.062587,-6.15716,-46.9226,-205.518,-51.4306,-33.827,-20,10
0.910127,1,0.5,-0.00949879,0,-0.00949879,-0.146205,-0.00079999,-0.357986,0.061787,-0.062587,-6.15716,-46.9226,-205.518,-51.4306,-38.193,-20,10
0.915102,1,0.5,-0.019805,0,-0.019805,-0.243895,-0.00384155,-0.339208,0.061787,-0.0656286,-6.15716,-46.9226,-205.518,-51.4306,-42.4997,-20,10
0.920119,1,0.5,-0.030305,0,-0.030305,-0.3367,-0.00384155,-0.339208,0.061787,-0.0656286,-6.15716,-46.9226,-205.518,-51.4306,-46.919,-20,10
0.92511,1,0.5,-0.040805,0,-0.040805,-0.424865,-0.00637354,-0.322362,0.061787,-0.0681605,-6.15716,-46.9226,-205.518,-51.4306,-50.7745,-20,10
0.930042,1,0.5,-0.051305,0,-0.051305,-0.508622,-0.00637354,-0.322362,0.061787,-0.0681605,-6.15716,-46.9226,-205.518,-51.4306,-54.7692,-20,10
0.935099,1,0.5,-0.061805,0,-0.061805,-0.588191,-0.00883236,-0.314506,0.061787,-0.0706194,-6.15716,-46.9226,-205.518,-51.4306,-58.6688,-20,10
0.940114,1,0.5,-0.061805,0,-0.061805,-0.588191,-0.00883236,-0.307437,0.061787,-0.0706194,-6.15716,-46.9226,-205.518,-51.4306,-58.3052,-20,10
