timestamp,state,state_name,z,z_dot,gazebo_world_z,gazebo_world_z_dot,pitch,pitch_rate,acc_z,cmd_x,x,x_dot,touchdown_x_ref,hip_pos_left,knee_pos_left,hip_pos_right,knee_pos_right,hip_effort_left,knee_effort_left,hip_cmd_left,knee_cmd_left,hip_cmd_right,knee_cmd_right,actual_tau_hip_left,actual_tau_knee_left,actual_tau_hip_right,actual_tau_knee_right,hip_pos_cmd_left,knee_pos_cmd_left,hip_pos_cmd_right,knee_pos_cmd_right,tau_ff_hip,tau_ff_knee,F_z,F_z_request,F_z_limit,velocity_reached,wheels_airborne,airborne_confidence,target_takeoff_velocity,tau_body_hip,thrust_reaction_ff,flight_subphase,recovery_subphase,controller_mode,thrust_motion_elapsed,thrust_attitude_blocked,air_wheel_cmd_raw,left_wheel_vel,right_wheel_vel,attitude_arrest_stable_count,touchdown_phase,brake_ref,capture_state,target_x,x_error,cmd_target,hip_vel_left,knee_vel_left,hip_vel_right,knee_vel_right,hip_vel_cmd_left,knee_vel_cmd_left,hip_vel_cmd_right,knee_vel_cmd_right,wheel_clearance,contact_window,thrust_extension_scale,air_pd_horizon,air_pd_raw_hl,air_pd_raw_kl,air_pd_raw_hr,air_pd_raw_kr,air_pd_discrete_hl,air_pd_discrete_kl,air_pd_discrete_hr,air_pd_discrete_kr,jump_forward_speed,jump_takeoff_forward_speed,jump_pitch_ref,active_jump_pitch_ref,jump_takeoff_pitch_rate,active_jump_pitch_rate_ref,pre_jump_stable_timer,takeoff_forward_speed,air_wheel_baseline,gazebo_world_x_dot,gazebo_world_y_dot,landing_capture_vx,landing_capture_raw_offset,landing_capture_offset,landing_target_x,landing_capture_comp,landing_capture_omega,landing_forward_axis_x,landing_forward_axis_y,landing_capture_planned,flight_air_pitch_ref,flight_air_pitch_rate_ref,protective_deploy_duration,protective_deploy_rate_limited,takeoff_aligned,takeoff_sample_stamp,takeoff_clearance_left,takeoff_clearance_right,landing_wheel_ground_blend,ground_pd_horizon,ground_pd_hl,ground_pd_kl,ground_pd_hr,ground_pd_kr,world_velocity_valid,odom_twist_z,thrust_release_active,thrust_release_blend,catch_stable_time,com_world_z,com_world_vz,com_velocity_valid,com_sample_stamp,com_forward_from_axle,com_height_above_axle,com_lean,com_lean_rate,com_balance_valid,thrust_feedback_vz,ground_gravity_hl,ground_gravity_kl,ground_gravity_hr,ground_gravity_kr,hip_effort_limit,knee_effort_limit,thrust_force_before_budget,thrust_knee_pd_left,torso_force_ff,torso_feedback,torso_hip_command,torso_rate,torso_horizon,torso_imu_fresh,torso_imu_fy,torso_imu_fz,hip_common_before_allocation,hip_differential_torque,capture_com_velocity,capture_world_valid,capture_world_active,capture_world_target,recovery_ready,recovery_drive_ref,recovery_yaw_ref,effort_jump_cycle,thrust_knee_position_yield,thrust_velocity_ref_valid,thrust_com_velocity_ref,thrust_com_knee_jacobian,thrust_knee_velocity_raw,thrust_knee_velocity_limited,flight_tuck_plan_check,flight_extend_plan_check,flight_tuck_duration,flight_extend_duration,protective_attitude_seen_stable,protective_attitude_brake_active,protective_attitude_brake_plan_check,protective_attitude_brake_duration,landing_com_forward_target,landing_com_forward_target_valid,protective_landing_progress,protective_landing_joint_alpha,protective_landing_com_end
0.012,0,BALANCE,0.397739,0,0.4,0,-1.16654e-19,-8.08923e-18,0,0.381376,-0,7.80562e-29,0,1.00184e-28,-3.3586e-29,1.00142e-28,-3.35879e-29,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-1.11509e-27,-1.11509e-27,0,,0,0,0,0,0,9.10762e-27,-3.05327e-27,9.10378e-27,-3.05345e-27,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0221536,0.249733,-0.0884778,-8.08923e-18,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-8.23388e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.017,0,BALANCE,0.397739,-0.452193,0.4,0,-1.16654e-19,-8.08923e-18,0,0.381376,3.90281e-31,7.80562e-29,0,1.45722e-28,-4.88524e-29,1.4566e-28,-4.88552e-29,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-1.11509e-27,-1.11509e-27,0,,0,0,0,0,0,9.10762e-27,-3.05327e-27,9.10378e-27,-3.05345e-27,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0221536,0.249733,-0.0884778,-8.08923e-18,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-8.23388e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.026,0,BALANCE,0.397739,-0.275114,0.400942,0,-4.6886e-19,-1.82951e-17,0,0.381376,1.17084e-30,7.80562e-29,0,2.36798e-28,-7.93851e-29,2.36698e-28,-7.93897e-29,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-1.11508e-27,-1.11509e-27,0,,0,0,0,0,0,9.10761e-27,-3.05327e-27,9.10378e-27,-3.05346e-27,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.02,-1,-1,0,0,0,0,0,0,0,-0.1519,0,0,0,0.322936,0,0,-1,-0.0221536,0.249733,-0.0884778,-1.82951e-17,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-8.16697e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.031,0,BALANCE,0.397739,-0.214589,0.400942,0,-1.03643e-18,-3.18941e-17,0,0.381376,1.56112e-30,7.80562e-29,0,2.82336e-28,-9.46515e-29,2.82217e-28,-9.46569e-29,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-1.11509e-27,-1.11509e-27,0,,0,0,0,0,0,9.10762e-27,-3.05327e-27,9.10378e-27,-3.05344e-27,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.02,-1,-1,0,0,0,0,0,0,0,-0.1519,0,0,0,0.322936,0,0,-1,-0.0221536,0.249733,-0.0884778,-3.18941e-17,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-8.04159e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.04,0,BALANCE,0.39735,-0.184495,0.400942,0,-1.03643e-18,-3.18941e-17,0,0.381376,2.09916e-13,-2.99571e-12,0,4.07596e-14,0.00137818,4.17266e-14,0.00137818,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,5.35142e-10,5.34753e-10,0,,0,0,0,0,0,2.51198e-10,0.557084,2.51054e-10,0.557084,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.02,-1,-1,0,0,0,0,0,0,0,-0.1519,0,0,0,0.322936,0,0,-1,-0.0223506,0.249447,-0.0893618,-0.357422,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-8.04159e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.045,0,BALANCE,0.397251,-0.148244,0.397102,-0.192004,0.000642101,-0.0168844,3.53772,0.42041,1.40424e-13,-2.52151e-12,0,6.11376e-13,0.00170201,6.12042e-13,0.00170201,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-4.18834e-11,-4.18825e-11,0,,0,0,0,0,0,1.36967e-11,1.06368e-10,1.37026e-11,1.06356e-10,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,1.56009e-09,-0.00982224,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.04,-1,-1,0,0,0,0,0,0,1,-0.134122,0,0,0,0.319165,-0.188554,1,0.04,-0.0222366,0.249394,-0.0889275,-0.0168844,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-0.438421,6.21184,0,0,-0.00786154,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.054,0,BALANCE,0.397251,-0.0901917,0.397102,-0.192004,-5.03419e-05,-0.0333263,5.80168,0.471645,1.69881e-13,-1.68087e-12,0,7.48326e-13,0.00170201,7.4905e-13,0.00170201,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-4.2258e-11,-4.22576e-11,0,,0,0,0,0,0,1.36934e-11,1.06358e-10,1.36993e-11,1.06346e-10,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,1.56009e-09,-0.00982224,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.04,-1,-1,0,0,0,0,0,0,1,-0.134122,0,0,0,0.319165,-0.188554,1,0.04,-0.0224093,0.249379,-0.0896199,-0.0333263,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-0.598767,8.49675,0,0,-0.00786154,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.059,0,BALANCE,0.397259,-0.0700109,0.397102,-0.192004,-5.03419e-05,-0.0333263,5.80168,0.471645,1.84717e-13,-1.30852e-12,0,8.16787e-13,0.00170201,8.1754e-13,0.00170201,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-4.24775e-11,-4.2477e-11,0,,0,0,0,0,0,1.36913e-11,1.06352e-10,1.36972e-11,1.0634e-10,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,1.56009e-09,-0.00982224,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.04,-1,-1,0,0,0,0,0,0,1,-0.134122,0,0,0,0.319165,-0.188554,1,0.04,-0.0224093,0.249379,-0.0896199,-0.0333263,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-0.598767,8.49675,0,0,-0.00786154,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.064,0,BALANCE,0.397268,-0.054202,0.396947,-0.00776867,-0.000896382,-0.0494848,7.2504,0.523659,1.99634e-13,-9.64622e-13,0,8.85237e-13,0.00170201,8.8602e-13,0.00170201,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-4.27181e-11,-4.27177e-11,0,,0,0,0,0,0,1.36892e-11,1.06345e-10,1.36951e-11,1.06333e-10,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,1.45339e-11,-0.030558,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.06,-1,-1,0,0,0,0,0,0,1,-0.00863624,0,0,0,0.31915,-0.000724473,1,0.06,-0.0226203,0.24936,-0.0904659,-0.0494848,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-0.65662,9.33693,0,0,-0.0245681,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
0.069,0,BALANCE,0.397268,-0.0422776,0.396947,-0.00776867,-0.000896382,-0.0494848,7.2504,0.523659,2.1464e-13,-6.46764e-13,0,9.53676e-13,0.00170201,9.54488e-13,0.00170201,0,0,0,0,0,0,0,0,0,0,0.258634,-0.406939,0.258634,-0.406939,1.88508,15.8757,171.675,0,0,0,0,0,1.98091,0,0,-1,-1,EFFORT,0,0,0,-4.29801e-11,-4.29798e-11,0,,0,0,0,0,0,1.36869e-11,1.06338e-10,1.36927e-11,1.06326e-10,0,0,0,0,0,0,1,0.025,0,0,0,0,0,0,0,0,0.5,0.5,0.113,0.038,0.45,0,0,0,0,1.45339e-11,-0.030558,0,0,0,0,0,0,1,0,0,0.038,0,0.24,0,0,0.06,-1,-1,0,0,0,0,0,0,1,-0.00863624,0,0,0,0.31915,-0.000724473,1,0.06,-0.0226203,0.24936,-0.0904659,-0.0494848,1,0,0,0,0,0,75,60,0,0,0,0,0,0,0.03,0,-0.65662,9.33693,0,0,-0.0245681,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0
