timestamp,x,x_dot,pitch,pitch_rate,u_pitch,cmd_x,target_speed,height,k_x,k_x_dot,k_theta,k_theta_dot,eff_target_pitch,eff_target_pitch_rate
0.175132,-0,1.0824e-28,-6.48125e-19,-2.08252e-17,-7.79961,0.311985,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.180137,-0,1.0824e-28,-6.48125e-19,-2.08252e-17,-7.79961,0.311985,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.185127,1.0824e-30,1.0824e-28,-1.4528e-18,-3.47153e-17,-7.79961,0.311985,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.190098,1.0824e-30,1.0824e-28,-1.4528e-18,-3.47153e-17,-7.79961,0.311985,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.195112,1.0824e-30,1.0824e-28,-1.4528e-18,-3.47153e-17,-7.79961,0.311985,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.200138,1.07505e-13,6.58405e-14,0.0013672,-0.00649289,-7.86671,0.314669,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.205158,1.07505e-13,6.58405e-14,0.0013672,-0.00649289,-7.86671,0.314669,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.210123,1.28444e-13,1.67714e-13,0.00097827,-0.0133847,-8.36006,0.334403,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.215138,1.28444e-13,1.67714e-13,0.00097827,-0.0133847,-8.36006,0.334403,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.220131,1.49609e-13,2.65728e-13,0.000503019,-0.0206136,-8.89298,0.355719,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.225164,1.49609e-13,2.65728e-13,0.000503019,-0.0206136,-8.89298,0.355719,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.230103,1.71047e-13,3.60308e-13,-5.93666e-05,-0.0281324,-9.46289,0.378516,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.235104,1.71047e-13,3.60308e-13,-5.93666e-05,-0.0281324,-9.46289,0.378516,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.240106,1.92803e-13,4.51858e-13,-0.000709855,-0.0359056,-10.0679,0.402717,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.245116,1.92803e-13,4.51858e-13,-0.000709855,-0.0359056,-10.0679,0.402717,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.250112,-0.00378516,-0.0189258,0.00413966,0.118077,-0.869389,0.0347756,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.25513,-0.00378516,-0.0189258,0.00413966,0.118077,-0.869389,0.0347756,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.260128,-0.00781233,-0.0381153,0.0122275,0.248672,7.68622,-0.307449,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.265144,-0.00781233,-0.0381153,0.0122275,0.248672,7.68622,-0.307449,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.270141,-0.00820594,-0.0379484,0.0241317,0.337486,15.6306,-0.625225,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.27518,-0.00820594,-0.0379484,0.0241317,0.337486,15.6306,-0.625225,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.280113,-0.00525682,-0.0206785,0.0175588,0.0569187,-1.47182,0.0588729,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.285139,-0.00525682,-0.0206785,0.0175588,0.0569187,-1.47182,0.0588729,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.290079,0.00099543,0.0116167,0.00342708,-0.277798,-22.7327,0.909309,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.295064,0.00099543,0.0116167,0.00342708,-0.277798,-22.7327,0.909309,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.300115,0.00099543,0.0116167,0.00342708,-0.277798,-22.7327,0.909309,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.305124,0.000542264,0.00809218,-0.012067,-0.514531,-40.3429,1.61372,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.310115,0.000542264,0.00809218,-0.012067,-0.514531,-40.3429,1.61372,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.315141,-0.00823796,-0.0377779,-0.0255403,-0.668183,-54.7276,2.1891,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.320123,-0.00823796,-0.0377779,-0.0255403,-0.668183,-54.7276,2.1891,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.325152,-0.0241958,-0.116575,-0.0332062,-0.618427,-57.4974,2.2999,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.330068,-0.0241958,-0.116575,-0.0332062,-0.618427,-57.4974,2.2999,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.335091,-0.0451958,-0.215746,-0.0359975,-0.488475,-55.4681,2.21872,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.340066,-0.0451958,-0.215746,-0.0359975,-0.488475,-55.4681,2.21872,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.345073,-0.0661958,-0.309959,-0.0350335,-0.308172,-49.3838,1.97535,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.350067,-0.0661958,-0.309959,-0.0350335,-0.308172,-49.3838,1.97535,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.35513,-0.0871958,-0.399461,-0.0294815,-0.083085,-39.3923,1.57569,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.360117,-0.0871958,-0.399461,-0.0294815,-0.083085,-39.3923,1.57569,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.365128,-0.106949,-0.478255,-0.0199553,0.177042,-25.9063,1.03625,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.370123,-0.106949,-0.478255,-0.0199553,0.177042,-25.9063,1.03625,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.375105,-0.122706,-0.533127,-0.00658553,0.456477,-9.21898,0.368759,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.380108,-0.122706,-0.533127,-0.00658553,0.456477,-9.21898,0.368759,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.385101,-0.133069,-0.558284,0.00978926,0.709407,8.08117,-0.323247,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.390119,-0.133069,-0.558284,0.00978926,0.709407,8.08117,-0.323247,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.395104,-0.136856,-0.548807,0.0246869,0.786991,16.4843,-0.659371,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.400102,-0.136856,-0.548807,0.0246869,0.786991,16.4843,-0.659371,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.405103,-0.13376,-0.505205,0.0320836,0.709309,15.7635,-0.63054,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.410078,-0.13376,-0.505205,0.0320836,0.709309,15.7635,-0.63054,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.415106,-0.127166,-0.446976,0.0324079,0.510991,7.07896,-0.283158,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.420065,-0.127166,-0.446976,0.0324079,0.510991,7.07896,-0.283158,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.425066,-0.120861,-0.3931,0.0261559,0.225552,-8.43619,0.337448,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.430066,-0.120861,-0.3931,0.0261559,0.225552,-8.43619,0.337448,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.435093,-0.118029,-0.359287,0.0179064,0.0350673,-19.8381,0.793523,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.440071,-0.118029,-0.359287,0.0179064,0.0350673,-19.8381,0.793523,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.445082,-0.121331,-0.358195,0.0144009,0.0296945,-20.9253,0.837011,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.450095,-0.121331,-0.358195,0.0144009,0.0296945,-20.9253,0.837011,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.455069,-0.129267,-0.379962,0.018565,0.170268,-12.8347,0.513387,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.460104,-0.129267,-0.379962,0.018565,0.170268,-12.8347,0.513387,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.465083,-0.137637,-0.402814,0.0294788,0.401514,2.06573,-0.0826293,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.470071,-0.137637,-0.402814,0.0294788,0.401514,2.06573,-0.0826293,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.475106,-0.142771,-0.408343,0.0396292,0.470722,8.15138,-0.326055,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.480068,-0.142771,-0.408343,0.0396292,0.470722,8.15138,-0.326055,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.485107,-0.141985,-0.383794,0.0426354,0.369353,4.09419,-0.163767,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.490106,-0.141985,-0.383794,0.0426354,0.369353,4.09419,-0.163767,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.495052,-0.141985,-0.383794,0.0426354,0.369353,4.09419,-0.163767,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.500077,-0.138724,-0.348302,0.0378642,0.141381,-8.62378,0.344951,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.505101,-0.138724,-0.348302,0.0378642,0.141381,-8.62378,0.344951,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.510074,-0.137087,-0.322698,0.0320833,0.016546,-16.0161,0.640642,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.515107,-0.137087,-0.322698,0.0320833,0.016546,-16.0161,0.640642,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.520101,-0.140536,-0.323811,0.0316187,0.0735632,-12.8552,0.514209,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.525065,-0.140536,-0.323811,0.0316187,0.0735632,-12.8552,0.514209,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.530068,-0.146943,-0.339652,0.0390324,0.253151,-1.43388,0.0573552,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.535066,-0.146943,-0.339652,0.0390324,0.253151,-1.43388,0.0573552,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.540066,-0.152085,-0.34838,0.047183,0.353251,5.849,-0.23396,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.545073,-0.152085,-0.34838,0.047183,0.353251,5.849,-0.23396,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.550066,-0.152658,-0.333829,0.0502478,0.276391,2.74819,-0.109928,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.555067,-0.152658,-0.333829,0.0502478,0.276391,2.74819,-0.109928,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.560071,-0.150319,-0.305439,0.0456663,0.104009,-7.01732,0.280693,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.565073,-0.150319,-0.305439,0.0456663,0.104009,-7.01732,0.280693,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.570101,-0.149219,-0.284671,0.0414611,0.00974471,-12.4938,0.499752,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.575087,-0.149219,-0.284671,0.0414611,0.00974471,-12.4938,0.499752,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.580074,-0.152026,-0.284472,0.0421927,0.0743161,-8.54776,0.34191,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.585071,-0.152026,-0.284472,0.0421927,0.0743161,-8.54776,0.34191,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.590143,-0.157024,-0.295236,0.0489306,0.205723,0.148877,-0.00595507,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.595074,-0.157024,-0.295236,0.0489306,0.205723,0.148877,-0.00595507,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.600116,-0.160443,-0.29757,0.0540387,0.256075,4.13813,-0.165525,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.605099,-0.160443,-0.29757,0.0540387,0.256075,4.13813,-0.165525,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.610094,-0.160383,-0.282394,0.0543013,0.172816,0.05364,-0.0021456,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.61508,-0.160383,-0.282394,0.0543013,0.172816,0.05364,-0.0021456,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.620103,-0.158728,-0.259998,0.0498936,0.0489371,-7.12326,0.284931,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.625074,-0.158728,-0.259998,0.0498936,0.0489371,-7.12326,0.284931,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.630089,-0.158707,-0.246891,0.0477847,0.00779769,-9.38264,0.375305,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.635075,-0.158707,-0.246891,0.0477847,0.00779769,-9.38264,0.375305,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.640086,-0.161556,-0.248793,0.0501638,0.077877,-4.83802,0.193521,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
