time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.01,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,-0,1.56112e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.015,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,0,1.56112e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.019,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,6.21957e-33,1.56112e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.024,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.16911e-32,1.56112e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.029,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,4.47754e-32,1.56112e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.033,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,6.92969e-32,1.56112e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.038,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.04093e-18,-2.48737e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.0887e-15,-1.89126e-14,0,1,0,0,0,0,0,0,0,0,0,-1.84475e-13,0,0,0,0,-12.6719,-12.6719,6.33593
0.043,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0616672,0.0616672,-0.0610251,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.025063,0.0253238,0,0,3.4595e-15,-3.495e-14,0,1,0,0,0,0,0,0,0,0,0,-3.3191e-13,0,0,0,0,-13.1346,-13.1346,6.56729
0.047,0.36,0.5,0,1.57392e-13,0,1.57392e-13,-1.37353e-12,0.000642101,-0.0115605,0.0616672,0.0616672,-0.0610251,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.025063,0.0253217,0,0,4.68605e-15,-4.5616e-14,0,1,0,0,0,0,0,0,0,0,0,-4.2345e-13,0,0,0,0,-13.1346,-13.1346,6.56729
0.052,0.36,0.5,0,1.9349e-05,0,1.9349e-05,0.000321398,-9.50446e-05,-0.0266513,0.0616672,0.0616672,-0.0617623,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253654,0.0253221,0,0,1.92525e-07,3.19796e-06,0,1,0,0,0,0,0,0,0,0,0,3.11933e-05,0,0,0,0,-14.0471,-14.0471,7.02355
