time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.015,0.36,0.5,0,-0,0,-0,2.03297e-28,-1.56949e-19,-8.45773e-18,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,-0,2.03297e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.019,0.36,0.5,0,1.01649e-30,0,1.01649e-30,2.03297e-28,-1.56949e-19,-8.45773e-18,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,8.09944e-33,2.03297e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.024,0.36,0.5,0,2.03297e-30,0,2.03297e-30,2.03297e-28,-6.30804e-19,-1.83198e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.82472e-32,2.03297e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.029,0.36,0.5,0,3.04946e-30,0,3.04946e-30,2.03297e-28,-6.30804e-19,-1.83198e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,5.83088e-32,2.03297e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.033,0.36,0.5,0,4.06594e-30,0,4.06594e-30,2.03297e-28,-1.3944e-18,-3.20426e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,9.02419e-32,2.03297e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.038,0.36,0.5,0,2.0541e-13,0,2.0541e-13,-2.20424e-12,-1.3944e-18,-3.20426e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.04387e-15,-2.19326e-14,0,1,0,0,0,0,0,0,0,0,0,-2.13933e-13,0,0,0,0,-12.6719,-12.6719,6.33593
0.043,0.36,0.5,0,-0.000168577,0,-0.000168577,-0.0019343,0.00124661,0.00919075,0.0616672,0.0616672,-0.0604206,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0248151,0.0253213,0,0,-1.67737e-06,-1.92466e-05,0,1,0,0,0,0,0,0,0,0,0,-0.000187734,0,0,0,0,-12.0347,-12.0347,6.01736
0.048,0.36,0.5,0,-0.000727096,0,-0.000727096,-0.00983395,0.00124661,0.00919075,0.0616672,0.0616672,-0.0604206,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0248151,0.0253163,0,0,-8.89541e-06,-0.000116905,0,1,0,0,0,0,0,0,0,0,0,-0.00113114,0,0,0,0,-12.4088,-12.4088,6.20439
0.052,0.36,0.5,0,-0.00186267,0,-0.00186267,-0.0229177,0.00460416,0.113863,0.0616672,0.0616672,-0.0570631,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0234379,0.0253013,0,0,-2.36665e-05,-0.000298583,0,1,0,0,0,0,0,0,0,0,0,-0.00286772,0,0,0,0,-6.95545,-6.95545,3.47772
0.056,0.36,0.5,0,-0.00355866,0,-0.00355866,-0.0409686,0.00460416,0.113863,0.0616672,0.0616672,-0.0570631,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0234379,0.0252865,0,0,-5.18336e-05,-0.000622645,0,1,0,0,0,0,0,0,0,0,0,-0.00593194,0,0,0,0,-7.81274,-7.81274,3.90637
