time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.012,0.36,0.5,0,-0,0,-0,2.03297e-28,-1.62986e-19,-8.45773e-18,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,-0,2.03297e-28,0,1,1,1,0,0.005,0,0,0,0,0,0,0,0.005,0,0,-12.6719,-12.6719,6.33593
0.016,0.36,0.5,0,1.01649e-30,0,1.01649e-30,2.03297e-28,-1.62986e-19,-8.45773e-18,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,8.09944e-33,2.03297e-28,0,1,1,1,0,0.009,0,0,0,0,0,0,0,0.009,0,0,-12.6719,-12.6719,6.33593
0.021,0.36,0.5,0,2.03297e-30,0,2.03297e-30,2.03297e-28,-6.30804e-19,-1.83198e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.82472e-32,2.03297e-28,0,1,1,1,0,0.014,0,0,0,0,0,0,0,0.014,0,0,-12.6719,-12.6719,6.33593
0.026,0.36,0.5,0,2.03297e-30,0,2.03297e-30,2.03297e-28,-6.30804e-19,-1.83198e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,4.81946e-32,2.03297e-28,0,1,1,1,0,0.019,0,0,0,0,0,0,0,0.019,0,0,-12.6719,-12.6719,6.33593
0.03,0.36,0.5,0,3.04946e-30,0,3.04946e-30,2.03297e-28,-1.3944e-18,-3.20426e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,7.21089e-32,2.03297e-28,0,1,1,1,0,0.023,0,0,0,0,0,0,0,0.023,0,0,-12.6719,-12.6719,6.33593
0.035,0.36,0.5,0,4.06594e-30,0,4.06594e-30,2.03297e-28,-1.3944e-18,-3.20426e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,1.11848e-31,2.03297e-28,0,1,1,1,0,0.028,0,0,0,0,0,0,0,0.028,0,0,-12.6719,-12.6719,6.33593
0.04,0.36,0.5,0,2.0541e-13,0,2.0541e-13,-2.20424e-12,-1.3944e-18,-3.20426e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.04387e-15,-2.19326e-14,0,1,1,1,0,0.033,0,0,0,0,0,-2.13933e-13,0,0.033,0,0,-12.6719,-12.6719,6.33593
0.045,0.36,0.5,0,9.64278e-14,0,9.64278e-14,-1.97331e-12,0.000881884,-0.00726323,0.0616672,0.0616672,-0.0607853,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0249647,0.0253228,0,0,2.983e-15,-4.13491e-14,0,1,1,1,0,0.038,3.59923e-06,0,0,0,0,-3.9289e-13,3.59923e-06,0.038,0,0,-12.8643,-12.8643,6.43213
0.049,0.36,0.5,0,1.08525e-13,0,1.08525e-13,-1.75349e-12,0.000881884,-0.00726323,0.0616672,0.0616672,-0.0607853,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0249647,0.0253199,0,0,3.82397e-15,-5.49916e-14,0,1,1,1,0,0.042,6.45282e-06,0,0,0,0,-5.11217e-13,6.45282e-06,0.042,0,0,-12.8643,-12.8643,6.43213
0.054,0.36,0.5,0,1.20668e-13,0,1.20668e-13,-1.5442e-12,0.000446818,-0.0149722,0.0616672,0.0616672,-0.0612204,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0251431,0.0253182,0,0,4.98659e-15,-6.98095e-14,0,1,0,1,0,0,0,0,0,0,0,-6.3082e-13,0,0,0,0,-13.3502,-13.3502,6.6751
0.059,0.36,0.5,0,1.32861e-13,0,1.32861e-13,-1.34484e-12,0.000446818,-0.0149722,0.0616672,0.0616672,-0.0612204,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0251431,0.0253164,0,0,6.25897e-15,-8.24962e-14,0,1,0,1,0,0,0,0,0,0,0,-7.23803e-13,0,0,0,0,-13.3502,-13.3502,6.6751
0.064,0.36,0.5,0,1.31789e-05,0,1.31789e-05,0.000218953,-0.000114266,-0.0249197,0.0616672,0.0616672,-0.0617815,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253733,0.025317,0,0,1.31132e-07,2.17861e-06,0,1,0,1,0,0,0,0,0,0,0,2.12504e-05,0,0,0,0,-13.9668,-13.9668,6.98341
0.068,0.36,0.5,0,-0.000353685,0,-0.000353685,-0.0060277,-0.000114266,-0.0249197,0.0616672,0.0616672,-0.0617815,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253733,0.0253175,0,0,-2.6881e-06,-4.5868e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000450566,0,0,0,0,-14.2621,-14.2621,7.13107
