time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.015,0.36,0.5,0,-0,0,-0,8.47707e-28,-6.21764e-19,-3.22792e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,-0,8.47707e-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6719,-12.6719,6.33593
0.019,0.36,0.5,0,4.23853e-30,0,4.23853e-30,8.47707e-28,-6.21764e-19,-3.22792e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,3.3773e-32,8.47707e-28,0,1,0,0,0,0,0,0,0,0,0,1.10238e-37,0,0,0,0,-12.6719,-12.6719,6.33593
0.024,0.36,0.5,0,8.47707e-30,0,8.47707e-30,8.47707e-28,-2.38338e-18,-6.98986e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,1.17785e-31,8.47707e-28,0,1,0,0,0,0,0,0,0,0,0,4.95589e-37,0,0,0,0,-12.6719,-12.6719,6.33593
0.029,0.36,0.5,0,1.27156e-29,0,1.27156e-29,8.47707e-28,-2.38338e-18,-6.98986e-17,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.43135e-31,8.47707e-28,0,1,0,0,0,0,0,0,0,0,0,1.54196e-36,0,0,0,0,-12.6719,-12.6719,6.33593
0.033,0.36,0.5,0,1.64771e-29,0,1.64771e-29,8.42937e-28,-5.32246e-18,-1.20982e-16,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,3.72489e-31,8.47669e-28,0,1,0,0,0,0,0,0,0,0,0,-3.72569e-31,0,0,0,0,-12.6719,-12.6719,6.33593
0.038,0.36,0.5,0,2.34836e-13,0,2.34836e-13,-1.62553e-12,-5.32246e-18,-1.20982e-16,0.0616672,0.0616672,-0.0616672,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.33665e-15,-1.61743e-14,0,1,0,0,0,0,0,0,0,0,0,-1.57766e-13,0,0,0,0,-12.6719,-12.6719,6.33593
0.043,0.36,0.5,0,1.66673e-13,0,1.66673e-13,-1.33575e-12,0.000718633,-0.0125501,0.0616672,0.0616672,-0.0609486,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0250316,0.0253235,0,0,3.97183e-15,-2.93043e-14,0,1,0,0,0,0,0,0,0,0,0,-2.78143e-13,0,0,0,0,-13.1698,-13.1698,6.58488
0.047,0.36,0.5,0,1.87567e-13,0,1.87567e-13,-1.05972e-12,0.000718633,-0.0125501,0.0616672,0.0616672,-0.0609486,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0250316,0.0253211,0,0,5.43473e-15,-3.75148e-14,0,1,0,0,0,0,0,0,0,0,0,-3.47721e-13,0,0,0,0,-13.1698,-13.1698,6.58488
0.052,0.36,0.5,0,2.02911e-13,0,2.02911e-13,-7.9668e-13,-0.000147654,-0.0302217,0.0616672,0.0616672,-0.0618149,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.025387,0.0253218,0,0,7.39965e-15,-4.50686e-14,0,1,0,0,0,0,0,0,0,0,0,-4.04444e-13,0,0,0,0,-14.2568,-14.2568,7.12838
0.057,0.36,0.5,0,6.67944e-13,0,6.67944e-13,-2.36622e-12,-0.000147654,-0.0302217,0.0616672,0.0616672,-0.0618149,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.025387,0.0253224,0,0,1.39722e-14,-6.81644e-14,0,1,0,0,0,0,0,0,0,0,0,-6.09998e-13,0,0,0,0,-14.2568,-14.2568,7.12838
0.062,0.36,0.5,0,-0.000280632,0,-0.000280632,-0.00394207,0.0222796,0.289328,0.0616672,0.0616672,-0.0393876,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0161864,0.0252315,0,0,-2.79234e-06,-3.92242e-05,0,1,0,0,0,0,0,0,0,0,0,-0.000382598,0,0,0,0,6.60227,6.60227,-3.30113
0.066,0.36,0.5,0,-0.00138174,0,-0.00138174,-0.0187451,0.0222796,0.289328,0.0616672,0.0616672,-0.0393876,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0161864,0.0251595,0,0,-1.37799e-05,-0.000188274,0,1,0,0,0,0,0,0,0,0,0,-0.00182868,0,0,0,0,5.90101,5.90101,-2.9505
0.071,0.36,0.5,0,-0.00292481,0,-0.00292481,-0.0329239,0.0303403,0.25551,0.0616672,0.0616672,-0.0313269,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0128778,0.0250373,0,0,-4.27451e-05,-0.000513999,0,1,0,0,0,0,0,0,0,0,0,-0.00491665,0,0,0,0,5.14315,5.14315,-2.57157
0.076,0.36,0.5,0,-0.00292481,0,-0.00292481,-0.0329239,0.0303403,0.25551,0.0616672,0.0616672,-0.0313269,0,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0128778,0.0249163,0,0,-7.14221e-05,-0.000836483,0,1,0,0,0,0,0,0,0,0,0,-0.00782241,0,0,0,0,5.14315,5.14315,-2.57157
