time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.014,0.36,0.5,0,-0,0,-0,8.47707e-28,-5.98734e-19,-3.22792e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,-0,8.47707e-28,0,1,1,1,0,0.005,0,0,0,0,0,0,0,0.005,0,0,-12.6719,-12.6719,6.33593
0.018,0.36,0.5,0,4.23853e-30,0,4.23853e-30,8.47707e-28,-5.98734e-19,-3.22792e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,3.3773e-32,8.47707e-28,0,1,1,1,0,0.009,0,0,0,0,0,1.10238e-37,0,0.009,0,0,-12.6719,-12.6719,6.33593
0.023,0.36,0.5,0,8.47707e-30,0,8.47707e-30,8.47707e-28,-2.38338e-18,-6.98986e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,1.17785e-31,8.47707e-28,0,1,1,1,0,0.014,0,0,0,0,0,4.95589e-37,0,0.014,0,0,-12.6719,-12.6719,6.33593
0.028,0.36,0.5,0,1.27156e-29,0,1.27156e-29,8.47707e-28,-2.38338e-18,-6.98986e-17,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.43135e-31,8.47707e-28,0,1,1,1,0,0.019,0,0,0,0,0,1.54196e-36,0,0.019,0,0,-12.6719,-12.6719,6.33593
0.032,0.36,0.5,0,1.64771e-29,0,1.64771e-29,8.42937e-28,-5.29943e-18,-1.20982e-16,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,3.72489e-31,8.47669e-28,0,1,1,1,0,0.023,0,0,0,0,0,-3.72569e-31,0,0.023,0,0,-12.6719,-12.6719,6.33593
0.037,0.36,0.5,0,2.34836e-13,0,2.34836e-13,-1.62553e-12,-5.29943e-18,-1.20982e-16,0.0616672,0.0616672,-0.0616672,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253264,0.0253264,0,0,2.33665e-15,-1.61743e-14,0,1,1,1,0,0.028,0,0,0,0,0,-1.57766e-13,0,0.028,0,0,-12.6719,-12.6719,6.33593
0.042,0.36,0.5,0,1.66673e-13,0,1.66673e-13,-1.33575e-12,0.000718633,-0.0125501,0.0616672,0.0616672,-0.0609486,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0250316,0.0253235,0,0,3.97183e-15,-2.93043e-14,0,1,0,1,0,0,0,0,0,0,0,-2.78143e-13,0,0,0,0,-13.1698,-13.1698,6.58488
0.047,0.36,0.5,0,1.87567e-13,0,1.87567e-13,-1.05972e-12,0.000718633,-0.0125501,0.0616672,0.0616672,-0.0609486,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0250316,0.0253206,0,0,5.79863e-15,-3.95572e-14,0,1,0,1,0,0,0,0,0,0,0,-3.64586e-13,0,0,0,0,-13.1698,-13.1698,6.58488
0.051,0.36,0.5,0,2.26329e-05,0,2.26329e-05,0.000375967,-8.37952e-05,-0.029071,0.0616672,0.0616672,-0.061751,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253608,0.0253209,0,0,1.80341e-07,2.99574e-06,0,1,0,1,0,0,0,0,0,0,0,2.93661e-05,0,0,0,0,-14.1667,-14.1667,7.08334
0.056,0.36,0.5,0,-0.000315132,0,-0.000315132,-0.00549889,-8.37952e-05,-0.029071,0.0616672,0.0616672,-0.061751,2,0,0.0616672,-0.0253264,-0.0253264,0.410174,-0,0,0.0253608,0.0253213,0,0,-2.95707e-06,-5.17489e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000506052,0,0,0,0,-14.4444,-14.4444,7.22219
